program,status,headline
P323,[Proven] matching primal-dual extremizer theorem; [Strong evidence] 90-digit FIN evaluation,the exact continuum signed-moment optimum is 0.4067063347
P324,[Proven] source-independent nonidentification; [Strong evidence] three explicit positive parent witnesses,legacy input alone does not identify a unique common-parent target
P325,[Proven] exact refreeze-lattice provenance; [Refuted] current internal-source interpretation of 1/4000,1/4000 is the exact QW2030/QW2038 refreeze lattice unit
P326,[Strong evidence] loss/jitter/confusion-robust finite-menu protocol; [Not experimentally validated],lossy synthetic apparatus still separates legacy and strict
P327,[Proven] exact algebraic 720-chamber certificate,all 720 spectral order chambers now have exact algebraic witnesses
P328,[Proven] commuting-unitary one-time diamond distance; [Blocked] full adaptive multitime comb,one-time wave channels have a computable diamond separation
P329,[Proven] scale/linear-clock rank obstruction; [Strong evidence] quartic-clock minimax design,quartic clock uncertainty admits a finite minimax design after calibration
P330,[Blocked by external evidence] no admitted P241 production event bundle,the independent P241 production gate remains closed
P331,[Strong evidence] executable tolerance specification; [Hypothesis] photonic feasibility,photonic transfer now has a quantitative pre-unblinding tolerance spec
P332,[Proven] scalar-realization nonuniqueness; [Refuted] unique physical interpretation from negativity,signed path mass does not select a unique physical interpretation
P333,[Proven] commutation is necessary for scalar completion; [Strong evidence] carrier-specific obstruction matrix,scalar completion fails naturally on noncommuting noncyclic carriers
P334,[Proven] minimal conditional angle package; [Refuted] full electroweak derivation from current spectrum,the electroweak angle can be packaged only conditionally with pointing
P335,[Proven] logical independence in the minimal product signature; [Open] dynamical independence inside FIN,five bridge resources are logically independent without coupling axioms
P336,[Blocked by external evidence] no admitted physical reservoir production package,the external physical-reservoir gate remains closed
