program,status,object,boundary
ST3567,Typed,TailExponentType,Decay exponent of pair coupling.
ST3568,Typed,HausdorffType,Metric covering exponent.
ST3569,Proven,DimensionIndependence,No general identity.
ST3570,Proven,GeneralDFormula,Fractional kernel in D dimensions scales |x-y|^-(D+alpha).
ST3571,Proven,AlphaRelation,Tail exponent=D+alpha in that class.
ST3572,Counterexample,SameEtaDifferentD,Fix eta and vary ambient D where admissible.
ST3573,Counterexample,SameDDifferentEta,Fix D and vary alpha.
ST3574,Refuted,EtaEqualsDTest,Eta=D is not a theorem of long-range operators.
ST3575,No-go,StrictFiniteBoundary,C12 cannot estimate Hausdorff dimension.
ST3576,Guardrail,LegacyBoundary,Legacy D_f not transferred.
ST3577,Boundary,InformationDimension,Information dimension needs measure+metric.
ST3578,No-go,SemanticSelector,No strict role assignment.
ST3579,Proven,BridgeNoGo,D_H=eta remains an independent axiom.
ST3580,Round verdict,RoundFourVerdict,Kernel tail and fractal dimension are different mathematical types.
ST3581,Recommendation,RoundFourRecommendation,Reassess two-axiom closure.
