program,status,object,boundary
ST1722,constructed_current_repository_claim_dependency_map,RepositoryStateMap,"Uses AGENTS, two requested drafts, kernel split notes and current state maps."
ST1723,constructed_displayed_covariant_action_term_ledger,DisplayedActionTermLedger,Literal equations in requested drafts.
ST1724,constructed_claimed_covariant_EOM_term_ledger,ClaimedEOMTermLedger,"Rows E_phi,E_H,E_A,E_psi,E_g."
ST1725,proven_displayed_action_does_not_source_all_claimed_covariant_EOM_rows,ActionEOMCoverageMatrix,Literal term-name/source audit.
ST1726,proven_multiple_claimed_EOM_terms_require_additional_action_terms,UnsourcedEOMTerms,Not merely missing notation.
ST1727,proven_displayed_A2phi2_interaction_is_not_explicitly_carried_by_covariant_sector_rows,UnexportedDisplayedInteractionRows,Compact template has it; later sector sheet does not.
ST1728,proven_A_mu_A_mu_phi2_term_breaks_local_Abelian_gauge_invariance_off_shell,GaugeVariationNoGo,Unless A is Proca or extra Higgs/Stueckelberg structure is supplied.
ST1729,proven_gauge_EOM_divergence_contains_nonzero_constraint_defect,WardIdentityDefect,Ward identity failure.
ST1730,constructed_unavoidable_gauge_or_Proca_interpretation_fork,GaugeOrProcaFork,Current draft does not type the choice.
ST1731,proven_solving_FRW_residual_rows_and_substituting_back_is_algebraic_normal_form_not_background_derivation,FRWResidualTautologyBoundary,"Does not source rho,p,H,Lambda or validate tensor equations."
ST1732,proven_APD_ratio_has_continuum_poles_at_legacy_cosine_zeros_with_nonzero_strict_target,APDContinuumPoleWarning,Integer Z12 carrier avoids these poles.
ST1733,proven_three_derivative_moments_depend_on_arbitrary_reference_coordinate_and_scale,MomentReferenceWarning,d_ref=1 and d normalization are extra choices.
ST1734,proven_effective_coupling_map_retains_five_free_base_couplings,FreeBaseCouplingWarning,"Kernel supplies multiplicative factors, not physical coefficients."
ST1735,round_one_falsifies_current_draft_as_single_derived_gauge_covariant_Ltotal,RoundOne_Verdict,Scaffold remains usable only as mixed-lineage conditional ansatz.
ST1736,recommended_ST1737_ST1751,RoundOne_Recommendation,"Highest-value next target is APD completion: test triviality, domain and positivity."
