program,status,object,boundary
ST7992,Declared,hierarchy_scale_memory_kernel_Objective,Hundred-round FDT audit.
ST7993,Audited,hierarchy_scale_memory_kernel_PriorEvidence,Hundred-round FDT audit.
ST7994,Constructed,hierarchy_scale_memory_kernel_TypedObject,Hundred-round FDT audit.
ST7995,Proven or scoped,hierarchy_scale_memory_kernel_Theorem,Hundred-round FDT audit.
ST7996,Recorded,hierarchy_scale_memory_kernel_Derivation,Hundred-round FDT audit.
ST7997,Retained,hierarchy_scale_memory_kernel_PositiveContent,Hundred-round FDT audit.
ST7998,Identified,hierarchy_scale_memory_kernel_FreeParameter,Hundred-round FDT audit.
ST7999,Constructed,hierarchy_scale_memory_kernel_Counterexample,Hundred-round FDT audit.
ST8000,Completed,hierarchy_scale_memory_kernel_SymmetryAudit,Hundred-round FDT audit.
ST8001,Completed,hierarchy_scale_memory_kernel_FDTTest,Hundred-round FDT audit.
ST8002,Classified,hierarchy_scale_memory_kernel_StrictStatus,Hundred-round FDT audit.
ST8003,Not established,hierarchy_scale_memory_kernel_PhysicalStatus,Hundred-round FDT audit.
ST8004,Installed,hierarchy_scale_memory_kernel_FalsificationRule,Hundred-round FDT audit.
ST8005,Round verdict,hierarchy_scale_memory_kernel_RoundVerdict,Hundred-round FDT audit.
ST8006,Recommendation,hierarchy_scale_memory_kernel_NextDependency,Hundred-round FDT audit.
