program,status,object,boundary
ST3672,Defined,RestrictionMap,Restrict sequences to d=1..6.
ST3673,Proven,FrozenCoordinates,Strict A depends only six weights.
ST3674,Proven,TailKernel,Any sequence supported d>=7 lies in kernel.
ST3675,Proven,InfiniteKernel,Infinite-dimensional.
ST3676,Theorem,AffineFiber,All continuations form K0+ker restriction.
ST3677,Constructed,FiniteRangeWitness,Set tail zero.
ST3678,Constructed,SignedWitness,Continue analytic cosine formula.
ST3679,Constructed,AbsoluteWitness,Use absolute cosine tail.
ST3680,Constructed,PositivePartWitness,Use positive part tail.
ST3681,Constructed,ExponentialWitness,Attach arbitrary positive exponential tail.
ST3682,Proven,ExactAgreement,All patched rules match d<=6.
ST3683,Proven,DistinctAsymptotics,They have different locality/symbol classes.
ST3684,No-go,IdentifiabilityNoGo,Finite A cannot identify tail.
ST3685,Round verdict,RoundOneVerdict,Continuum completion is infinitely nonunique.
ST3686,Recommendation,RoundOneRecommendation,Literal signed tail.
