program,object,status
ST308,Minimal Scalar Active D12-Covariant Gain Law,proven_minimal_in_declared_multiplicative_auxiliary_class
ST309,Finite Pumped Auxiliary and Controlled Elimination Error,proven_exact_auxiliary_relaxation_and_reduced_gain
ST310,Conservative Mediator Rank Theorem and Gain-Resource Dichotomy,proven_rank_minimal_Schur_realization_and_pump_not_necessary_correction
ST311,Interval-Certified Localized Simplex Minimum and Twelve Translates,proven_one_strict_local_minimum_and_twelve_translation_orbit_at_supplied_g
ST312,Exact Global Dual Reduction and Bounded Globality Audit,proven_dual_reduction_plus_strong_numerical_global_evidence_no_global_certificate
ST313,Localized-Branch Continuation and First-Order Crossing,strong_numerical_evidence_for_first_order_localization_crossing
ST314,Audit of the Missing Continuous Validated Tube,proven_existing_certificates_are_disjoint_and_do_not_form_tube
ST315,Exact Rational Three-Output Recovery SDP Optimum,proven_exact_primal_dual_optimum_three_halves
ST316,Exact Projective Contraction of the Frozen HMM Filters,proven_uniform_filter_contraction_tail_promotion_still_partial
ST317,Sensitivity-Weighted Nuisance-Cover Allocation,proven_conditional_allocation_rule_plus_numerical_FIN_sensitivities
ST318,Sharp Approximate Odd-Dimensional Clifford Obstruction,proven_sharp_operator_norm_lower_bound_two
ST319,Gauge Classification of Positive Scale Cocycles on Refinement Trees,proven_all_tree_scale_cocycles_are_gauge_trivial
ST320,Bathtub Extremal Theorem for Pointwise Soft-IR Design,proven_pointwise_bang_bang_extremal_structure
ST321,Calibration Structure-Group Reduction and Minimal Anchor Count,proven_two_relations_leave_one_dimensional_calibration_orbit
ST322,Independent Evidence Gate After the Mathematical Batch,blocked_no_independent_events
ST323,Exact Observer-Blindness Kernel for a Two-Child Refinement,proven_78_dimensional_coarse_blindness_and_fiber_tomographic_collapse
ST324,Blackwell Observer Depth Versus Blindness-Kernel Inclusion,proven_kernel_monotonicity_and_converse_counterexample
ST325,Refinement-Naturality of Relative Spectral Clocks,proven_coarse_relative_clock_invariance_across_exact_refinement
ST326,Information-Theoretic Lower Bound on Fractal Branch Compression,proven_lossless_branch_record_lower_bound
