program,status,object,boundary
ST2832,Constructed,ObservableVector,Five records.
ST2833,Exact form,O1TernaryMean,tanh theta.
ST2834,Exact form,O2PrismRG,prior prism theorem.
ST2835,Exact form,O3JumpProbability,two unequal energy changes.
ST2836,Exact form,O4HoldingTime,1/[c(r1+r2)].
ST2837,Exact form,O5SignedCurrent,j.
ST2838,Proven,TargetIndependence,No target fitting in map definition.
ST2839,Computed,FiniteValues,Declared point finite/interior.
ST2840,Boundary,CalibrationBoundary,O4 requires calibrated time.
ST2841,Boundary,LikelihoodBoundary,Shot likelihood required empirically.
ST2842,Boundary,NoiseBoundary,No raw data.
ST2843,Boundary,PhysicalBoundary,Dimensionless model.
ST2844,Conditional,ObservableCompleteness,Complete for declared five parameters.
ST2845,Round verdict,RoundThreeVerdict,A minimal separating record vector exists conditionally.
ST2846,Recommendation,RoundThreeRecommendation,Rank and removal audit.
