program,status,object,boundary
ST8427,Declared,EdgeLocalClass,"Edge-local mobility W_ij M(a,b)."
ST8428,Required,SymmetricMean,"M(a,b)=M(b,a)>0."
ST8429,Required,HeatMatching,"M(a,b)(loga-logb)=a-b."
ST8430,Derived,FunctionalEquation,Pointwise equation.
ST8431,Theorem,UniqueSolution,M=Lambda for a!=b.
ST8432,Proven,DiagonalLimit,"Continuity gives M(a,a)=a."
ST8433,Proven,NoAlternativeMean,No other continuous edge mean in class.
ST8434,Boundary,OverallMultiplier,Multiplying K by c changes heat to cA.
ST8435,No-go,ClockRescaling,Physical clock scale remains.
ST8436,Proven,GraphAssembly,Edge uniqueness yields operator uniqueness.
ST8437,Proven,D12Naturality,Inherited from W.
ST8438,Boundary,UniquenessScope,"Requires Shannon, locality and exact heat matching."
ST8439,Proven,AxiomRemoval,Removing any premise admits alternatives.
ST8440,Round verdict,RoundThreeVerdict,Mobility shape is uniquely derived in the declared class.
ST8441,Recommendation,RoundThreeRecommendation,Boundary/positivity dynamics.
