program,status,object,boundary
ST7842,Declared,fin_application_prism_q_Objective,Hundred-round FDT audit.
ST7843,Audited,fin_application_prism_q_PriorEvidence,Hundred-round FDT audit.
ST7844,Constructed,fin_application_prism_q_TypedObject,Hundred-round FDT audit.
ST7845,Proven or scoped,fin_application_prism_q_Theorem,Hundred-round FDT audit.
ST7846,Recorded,fin_application_prism_q_Derivation,Hundred-round FDT audit.
ST7847,Retained,fin_application_prism_q_PositiveContent,Hundred-round FDT audit.
ST7848,Identified,fin_application_prism_q_FreeParameter,Hundred-round FDT audit.
ST7849,Constructed,fin_application_prism_q_Counterexample,Hundred-round FDT audit.
ST7850,Completed,fin_application_prism_q_SymmetryAudit,Hundred-round FDT audit.
ST7851,Completed,fin_application_prism_q_FDTTest,Hundred-round FDT audit.
ST7852,Classified,fin_application_prism_q_StrictStatus,Hundred-round FDT audit.
ST7853,Not established,fin_application_prism_q_PhysicalStatus,Hundred-round FDT audit.
ST7854,Installed,fin_application_prism_q_FalsificationRule,Hundred-round FDT audit.
ST7855,Round verdict,fin_application_prism_q_RoundVerdict,Hundred-round FDT audit.
ST7856,Recommendation,fin_application_prism_q_NextDependency,Hundred-round FDT audit.
