program,status,object,boundary
ST3312,Conditional,EtaCandidate,Use strict eta=1.8.
ST3313,Route A,EtaAsAlpha,Set decay exponent alpha=eta.
ST3314,Route B,EtaAsDimension,"Set Hausdorff dimension D=eta, hence r=2^(1/eta)."
ST3315,Proven,MutualIncompatibility,Routes impose different equations and are not equivalent.
ST3316,Proven,ProductDegeneracy,q sequence sees alpha log r only.
ST3317,Conditional,DimensionObservation,Independent metric ball scaling can estimate D.
ST3318,Conditional,DecayObservation,q_n ratios estimate alpha log r.
ST3319,Proven,JointIdentification,Both records could identify alpha and r conditionally.
ST3320,No-go,ScaleOrigin,Overall length ell0 remains free.
ST3321,No-go,PhysicalLength,Meters absent.
ST3322,Guardrail,LegacyDfBoundary,Legacy fractal dimension claims do not transfer.
ST3323,Guardrail,AlphaGeoBoundary,"alpha_geo is an information amplitude, not D_H."
ST3324,No-go,NoSilentTransfer,No theorem chooses Route A or B.
ST3325,Round verdict,RoundFiveVerdict,Eta compatibility creates alternatives rather than a unique bridge.
ST3326,Recommendation,RoundFiveRecommendation,Synthesize.
