program,status,object,boundary
ST2907,Derived,FixedEquation,m prime=m.
ST2908,Proven,ZeroFixedPoint,m=0 for all q.
ST2909,Proven,QZeroLine,Every finite m fixed when q=0.
ST2910,Proven,BoundaryFixedPoints,m=+-1 boundary fixed.
ST2911,Proven no-go,FiniteNonzeroNoGo,"For q!=0 and |m|<1, no nonzero fixed point."
ST2912,Proven,PositiveQZeroStability,q>0 makes zero unstable.
ST2913,Proven,NegativeQZeroStability,q<0 makes zero stable.
ST2914,Proven,DerivativeAtZero,F prime(0)=1+tanh(q)^3.
ST2915,Boundary,DerivativeAtBoundary,Saturation stability depends side but stays boundary.
ST2916,Refuted,NoFiniteResonance,No finite nonzero highest-resonance fixed state in this map.
ST2917,Proven,TranslationSignPair,+- branches paired.
ST2918,Boundary,ThetaInfinityBoundary,|m|=1 means |theta| infinite/perfect order.
ST2919,Gate fail,FixedPointGate,No finite selected nonzero fixed point.
ST2920,Round verdict,RoundTwoVerdict,"Only disorder, identity line, or infinite-order boundaries exist."
ST2921,Recommendation,RoundTwoRecommendation,Classify feedback trajectories.
