program,status,object,boundary
ST2262,Classified,CompositionLawInventory,"Current strict data expose edge energy, spectral calculus, adaptive potential and refinement; no face-composition law is exported."
ST2263,Proven,DirichletParallelAdditivity,Dirichlet energy is linear in W for a fixed field f.
ST2264,Proven nonimplication,LiftNonImplication,Linearity of a scalar edge-energy sum does not determine a nonlinear map from three edge weights to one face weight.
ST2265,Conditional theorem,SeparateAdditivityTheorem,Continuity rules out pathological Cauchy solutions.
ST2266,Proven,ProductRuleTest,The product satisfies separate parallel additivity.
ST2267,Counterexample,GeometricMeanCounterrule,"Local, symmetric, positive, support-zero and degree-one, but not separately additive."
ST2268,Counterexample,HarmonicMeanCounterrule,Natural series-conductance aggregation violates separate additivity.
ST2269,Counterexample,MinimumCounterrule,"Local, symmetric, monotone and support-zero, but nonsmooth/nonadditive."
ST2270,Proven ambiguity,HomogeneityConflict,Product has total degree three; geometric/harmonic/minimum have degree one.
ST2271,Proven,SupportZeroClassification,Support-zero alone permits infinitely many symmetric positive rules.
ST2272,Identified missing premise,ParallelAdditivityPremise,A3 is equivalent to requiring the face lift to preserve parallel addition independently in every edge slot.
ST2273,Repository audit,StrictSourceAudit,No current strict packet exports face-lift parallel additivity as a source theorem.
ST2274,Gate fail,SeparateLinearityGate,A3 selects the loop product conditionally but is not derived by the strict pair operator.
ST2275,Round verdict,RoundOneVerdict,Dirichlet linearity does not propagate automatically one categorical level upward to triangle weights.
ST2276,Recommendation,RoundOneRecommendation,Audit A4 using the exact weighted-graph automorphism group and triangle orbit separation.
