program,status,object,boundary
ST3492,Computed,HeatTraceReplay,24 Haar levels.
ST3493,Constructed,CandidateTable,rho candidates.
ST3494,Observed,NearCriticalGrowth,rho=.51 needs extreme depth for asymptotic regime.
ST3495,Computed,EtaClosureTrace,Axiom closure rho.
ST3496,Computed,RhoOneTrace,d_s=2.
ST3497,Computed,RhoTwoTrace,d_s=1.
ST3498,Proven,FiniteDepthBias,Finite depth truncates divergence and biases dimension.
ST3499,Conditional,AsymptoticFit,Log counting slope estimates d_s.
ST3500,Boundary,ResolutionRequirement,Need many resolved layers.
ST3501,Boundary,ObserverCutoff,Internal observer has finite prefix.
ST3502,No-go,TraceNormalization,Heat trace amplitude/cutoff conventions remain.
ST3503,No-go,ClockScale,t scale remains free.
ST3504,Boundary,EmpiricalBoundary,No raw multilevel record.
ST3505,Round verdict,RoundFiveVerdict,Finite numerical spectra cannot select the asymptotic closure.
ST3506,Recommendation,RoundFiveRecommendation,Synthesize.
