program,status,object,boundary
ST2622,Defined,RateDifferenceAnsatz,Local rate depends on DeltaE.
ST2623,Proven,DetailedBalanceEquation,Detailed balance.
ST2624,Proven classification,GeneralSolution,Set h(D)=exp(D/2)r(D).
ST2625,Proven,EvenActivityFunction,Every even positive h is admissible.
ST2626,Boundary,Positivity,h>0 gives irreducibility.
ST2627,Proven,AnalyticFreedom,Infinitely many analytic h.
ST2628,Proven,MonotoneFreedom,Additional monotonicity still leaves families.
ST2629,Example,SymmetricRate,h=1.
ST2630,Example,HeatBathRate,h=1/(2cosh(D/2)).
ST2631,Example,MetropolisRate,h=exp(-abs(D)/2).
ST2632,Proven,CommonRatio,All satisfy identical forward/backward ratio.
ST2633,No-go,TimeScale,h->c h rescales time.
ST2634,Proven no-go,FunctionSpaceNoGo,Energy and detailed balance leave infinite functional freedom.
ST2635,Round verdict,RoundOneVerdict,No unique local reversible rate follows from Gibbs energy.
ST2636,Recommendation,RoundOneRecommendation,Audit extra axioms selecting named rules.
