program,status,object,boundary
ST5277,Classified,information_entropy_Objective,Declared scope.
ST5278,Audited,information_entropy_Input,Prior strict/legacy packets.
ST5279,Constructed,information_entropy,Mathematical type separated.
ST5280,Proven or inherited,information_entropy_CoreStatement,Within declared class.
ST5281,Recorded,information_entropy_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST5282,Retained,information_entropy_PositiveContent,No overpromotion.
ST5283,Retained,information_entropy_Counterexample,Alternative representative or symmetry orbit.
ST5284,Passed boundary,information_entropy_SymmetryTest,Invariant data do not select free orbit member.
ST5285,Proven boundary,information_entropy_RemovalTest,Removing extra structure restores ambiguity.
ST5286,Classified,information_entropy_StrictStatus,Only fiber-invariant content is strict.
ST5287,Not established,information_entropy_PhysicalStatus,Units/OA/evidence checked separately.
ST5288,Separated,information_entropy_LegacyStatus,No silent role transfer.
ST5289,Installed,information_entropy_FalsificationRule,Reject claim if it varies in the declared fiber.
ST5290,Round verdict,information_entropy_RoundVerdict,Adaptive output.
ST5291,Recommendation,information_entropy_NextDependency,Next theme follows from this boundary.
