program,object,status
ST293,Passive Functional-Calculus No-Go for the Negative Information Gain,proven_no_go_in_passive_self_adjoint_and_Stieltjes_class
ST294,Global Simplex Competition and Refutation of Lowest-Mode Global Selection,proven_threshold_ordering_plus_numerical_branch_map
ST295,"Localized Translation Orbit, Numerical Hessian, and Basin Audit",strong_numerical_evidence_for_twelve_localized_basins_at_supplied_g
ST296,Passive Memory Loading Cannot Generate the Negative Information Coupling,proven_passive_memory_strengthens_stability
ST297,Analytic Completion of the D12 Equivariant Module,proven_local_real_analytic_free_rank_two_completion
ST298,Validated Fine Pseudo-Arclength Chain Through the Near-Rank Event,proven_160_box_unique_root_chain_continuous_minimum_still_open
ST299,Three-Output Recovery SDP and Binary-Formula Obstruction,proven_exact_SDP_reduction_and_no_single_binary_difference_formula
ST300,All-Depth Chernoff Derivative-Tail Obstruction Audit,bounded_no_go_for_naive_tail_promotion
ST301,Frozen-Budget Nuisance-Cover Boundary,proven_largest_completed_radius_in_declared_campaign_not_global_maximum
ST302,Odd-Dimensional Obstruction for Anticommuting Hermitian Involutions,proven_no_exact_Clifford_pair_in_odd_complex_dimension
ST303,Three-Level Coassociative Refinement and Constant Scale Cocycle,proven_single_modulus_after_full_level_exchange
ST304,Soft Infrared Near-Haar Plateau Optimization,strong_numerical_finite_grid_tradeoff_evidence
ST305,Observer-Context Calibration Torsor and Scale-Cocycle Theorem,proven_relational_invariants_and_no_canonical_absolute_scale_section
ST306,Complete Synthetic Validator-Conformance Fixture,proven_complete_syntax_fixture_permanently_non_empirical
ST307,Independent Child-Resolved Evidence Gate,blocked_no_independently_registered_raw_events
