program,status,object,boundary
ST2292,Defined,PositiveMultiplicativeValuation,Assumes a positive continuous valuation of multiplicative edge/loop composition.
ST2293,Proven classification,PowerLawClassification,Continuity excludes discontinuous Cauchy characters.
ST2294,Constructed,NormalizedPowerMap,Mean normalization removes common amplitude but not exponent.
ST2295,Proven,PowerMapComposition,Exact algebra; finite residual shown for the strict orbit vector.
ST2296,Proven,IdempotenceEquation,Scale-stationary two-step equals one-step requires T_(p^2)(x)=T_p(x).
ST2297,Proven theorem,NonconstantProfileTheorem,Use any unequal pair xi/xj and compare its transformed ratio.
ST2298,Proven,TrivialErasureBranch,p=0 sends every positive profile to the uniform vector and erases all orbit information.
ST2299,Proven,NontrivialIdentityBranch,p=1 is the identity on mean-normalized profiles.
ST2300,Conditional axiom,ScaleStationaryPathPrinciple,Stronger than ordinary coassociativity: the same direct map must represent one or any number of refinement steps.
ST2301,Axiom-removal audit,PrincipleNecessityAudit,Every premise is needed for the p=1 conclusion.
ST2302,Proven counterfamily,ContinuousSemigroupFreedom,Continuous refinement semigroups remain possible without idempotence.
ST2303,Guardrail confirmed,CoassociativityBoundary,ST289/ST619 already prove that plain coassociativity leaves a rate modulus/per-level sequence.
ST2304,Conditional pass,ConditionalPSelectionGate,p=1 follows only after adding scale-stationary idempotence and excluding erasure.
ST2305,Round verdict,RoundThreeVerdict,"Fractal path independence can select p=1, but only in a strong idempotent form absent from current FIN."
ST2306,Recommendation,RoundThreeRecommendation,"Test the strong principle on the actual nonconstant orbit vector, including relabellings, entropy flow and level-dependent rates."
