program,status,object,boundary
ST3282,Constructed,ProductCarrier,Z12 times binary boundary.
ST3283,Proven,FiniteLayerStates,At depth n: 12*2^n cells.
ST3284,Defined,Projection,Forget tail bits.
ST3285,Proven,SigmaAlgebra,Depth-m observables form nested sigma algebras.
ST3286,Constructed,ObserverPrefix,Internal observer restricted to prefix m.
ST3287,Proven,HiddenTail,n-m hidden bits per base label at depth n.
ST3288,Proven,ConditionalExpectation,Coarse record is conditional expectation over tail.
ST3289,Proven,Martingale,Prefix expectations form a martingale.
ST3290,Proven,ExactBlindness,Tail-odd observables average to zero.
ST3291,Conditional,FineInstrument,Child-resolving measurement accesses next bit.
ST3292,Proven,BaseCycleIndependence,Z12 coordinate and tree depth are separate typed factors.
ST3293,Proven,LayerMetric,Tree depth supplies layer distance without base d doubling.
ST3294,Conditional,CombinedMetric,max or sum metric needs relative scale.
ST3295,Boundary,PhysicalObserverBoundary,Mathematical filtration is not an actual apparatus/observer.
ST3296,Recommendation,RoundThreeRecommendation,Depth-decay q_n.
