program,object,status
ST46,Upstream Strict-to-Memory Sensitivity Certificate,strong_partial_upstream_certificate_not_full_interval_closure
ST47,Trace-Stationary Refinement Selector,proven_conditional_unique_refinement_under_added_trace_law
ST48,Odd-Gain Source Nonidentifiability Theorem,proven_strict_static_core_does_not_identify_feedback_gain_sign
ST49,Two-Component Projective Selector-Holonomy State,proven_conditional_joint_formal_closure_with_added_projective_state
ST50,Common-Spectrum Channel Intertwiner Classification,proven_finite_channel_intertwiner_classification
ST51,Finite-Count Two-Carrier Transfer Test,strong_synthetic_two_carrier_transfer_discrimination
ST52,Exact Uniform Minimizer-Orbit Theorem for the Constructed Saturation,proven_global_uniform_orbit_and_orbital_stability_for_constructed_model
ST53,Carrier-Neutral Entropy and Data-Processing Ledger,proven_finite_entropy_invariants_and_data_processing_boundary
ST54,Operational-Isomorphism Quotient Universal Property,proven_quotient_universal_property
ST55,Executable Two-Carrier Transfer Specification,constructed_type_complete_local_executable_spec
ST56,Fractal-Compression Refinement Nonselection Audit,proven_coarse_compression_nonselection_and_no_exact_dyadic_ratio
ST57,Post-ST56 Minimal-Axiom Reconciliation,proven_no_strict_axiom_reduction_after_conditional_packaging
