calibration_interval,dynamic_filter,block,true_gradient,estimated_gradient,posterior_gradient_sd,calibration_block
1,False,0,0.7262411027379535,0.7229094173454178,0.01902042595604969,True
1,False,1,0.7251123406594469,0.7362783932404839,0.0149488470350552,True
1,False,2,0.7246759889817904,0.7321776434966576,0.012772081702419825,True
1,False,3,0.7255137711480256,0.7283973660355926,0.011299550012434583,True
1,False,4,0.7268808287837052,0.733223724120736,0.010243224673410534,True
1,False,5,0.7255195113639273,0.7303643946266655,0.009432448741429114,True
1,False,6,0.7256524833726044,0.7308799692453405,0.008788428742491255,True
1,False,7,0.7257960141689002,0.7306436162309955,0.008260978172320393,True
1,False,8,0.7251594896394365,0.730643415847111,0.007813770068566477,True
1,False,9,0.7248122844922026,0.7290725433153546,0.0074312575171481725,True
1,False,10,0.7238526526110404,0.727913767332459,0.007096472374037546,True
1,False,11,0.7236358892478714,0.7292639043844351,0.006803889410335179,True
1,False,12,0.7263398002388001,0.7256491678741436,0.006539473423884084,True
1,False,13,0.7256181358351249,0.724696607058215,0.006299701135955251,True
1,False,14,0.7230019838325838,0.7250398047787072,0.006084750706149839,True
1,False,15,0.7258401281552472,0.7256015285428239,0.005890597832883324,True
1,False,16,0.7268641155410543,0.7253068648695049,0.005714307003006041,True
1,False,17,0.7265272888299609,0.7260044291056694,0.005554150906118393,True
1,False,18,0.7271755514891327,0.7272319635150885,0.005407476384415456,True
1,False,19,0.7270671141418301,0.7274317990698524,0.00527270754968171,True
1,False,20,0.7272815502740824,0.7294743352782993,0.005149049438944118,True
1,False,21,0.7260123601607302,0.7294619861270762,0.005034798319199397,True
1,False,22,0.7273063108239208,0.7287718493690123,0.004926983709842125,True
1,False,23,0.7257212168297653,0.7288348753500778,0.004825881410308177,True
1,False,24,0.7217437596525634,0.7293302602222053,0.00473140837002115,True
1,False,25,0.724284612308694,0.7295172288266484,0.00464248370078803,True
1,False,26,0.7225506825009863,0.7285041485627797,0.004557727556840416,True
1,False,27,0.7219746328835512,0.728503902246248,0.0044771752500402185,True
1,False,28,0.7236328937012585,0.7287475997167783,0.004400639217171247,True
1,False,29,0.7209468440216792,0.7287169819575515,0.004327741162523109,True
1,False,30,0.7229375507428424,0.7290883625690396,0.0042585539307690105,True
1,False,31,0.725229941111785,0.7295880537043388,0.004192475189432439,True
1,False,32,0.7248052002373625,0.7294788015314926,0.004129490885850348,True
1,False,33,0.7285550029553568,0.7296896076020968,0.004069290063403813,True
1,False,34,0.7290972852691833,0.7299084626189651,0.004011696613191815,True
