program,status,object,boundary
ST4842,Classified,origin_selector_Objective,Declared scope.
ST4843,Audited,origin_selector_Input,Prior strict/legacy packets.
ST4844,Constructed,origin_selector,Mathematical type separated.
ST4845,Proven or inherited,origin_selector_CoreStatement,Within declared class.
ST4846,Recorded,origin_selector_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST4847,Retained,origin_selector_PositiveContent,No overpromotion.
ST4848,Retained,origin_selector_Counterexample,Alternative representative or symmetry orbit.
ST4849,Passed boundary,origin_selector_SymmetryTest,Invariant data do not select free orbit member.
ST4850,Proven boundary,origin_selector_RemovalTest,Removing extra structure restores ambiguity.
ST4851,Classified,origin_selector_StrictStatus,Only fiber-invariant content is strict.
ST4852,Not established,origin_selector_PhysicalStatus,Units/OA/evidence checked separately.
ST4853,Separated,origin_selector_LegacyStatus,No silent role transfer.
ST4854,Installed,origin_selector_FalsificationRule,Reject claim if it varies in the declared fiber.
ST4855,Round verdict,origin_selector_RoundVerdict,Adaptive output.
ST4856,Recommendation,origin_selector_NextDependency,Next theme follows from this boundary.
