program,object,status
ST263,Strict Lowest-Mode Phase Orbit and Minimal Degree-12 Breaking Term,proven_phase_orbit_and_minimal_degree_12_conditional_breaking_with_no_strict_coefficient_source
ST264,Low-Degree Nonlinear D12-Equivariant State-to-Multiplication Module,proven_complete_polynomial_equivariant_module_through_degree_11
ST265,Targeted Lowest-Clearance Branch-Pair Interval Event Audit,proven_no_event_on_44_new_certified_boxes
ST266,Exact Recovery for a Nonorthogonal Measure-and-Prepare Affine Qubit Channel,proven_rational_global_CPTP_optimum_outside_pauli_and_amplitude_damping_orbits
ST267,Interval KKT Closure of the Augmented Selector-Control Problem,proven_unique_global_discrete_selector_optimum
ST268,Refinement-Naturality Theorem for the Mean-Zero Affine Connection,proven_naturality_and_uniqueness_in_exact_linear_isometric_refinement_category
ST269,Fixed-Resolution Nuisance-Cover Method Boundary,proven_complete_00070_cover_and_00075_certificate_failure
ST270,Distribution-Free Finite Confidence Regions for Clustered Modal Counts,proven_uniform_finite_sample_simultaneous_coverage_in_declared_cluster_model
ST271,Explicit Two-Gap Misaligned Clifford Nonuniqueness Counterexample,proven_continuum_of_global_minimizers_despite_two_positive_marginal_gaps
ST272,Adaptive Belief-Transfer Enclosure with Chernoff-Parameter Search,proven_adaptive_fixed_half_enclosure_plus_strong_numerical_chernoff_candidate
ST273,Finite Controller and Cyclic Free-Energy Ledger,proven_conditional_controller_reset_bound_and_no_universal_positive_cost
ST274,Unlabelled-Fiber Natural Refinement Functor,proven_conditional_reduction_of_local_refinement_cone_from_7D_to_1D
ST275,Finite-Cutoff Log-Haar Bounds and Trace-Class Impossibility Theorem,proven_cutoff_error_bound_and_no_exact_trace_class_scale_invariant_completion
ST276,Frozen Fiber-Resolving Instrument and Record Specification,proven_executable_mathematical_instrument_specification
ST277,External Evidence Gate,blocked_no_external_record
