program,object,status
ST372,Complete Local Rotated-Slab Family with Certified Nonoverlap,proven_160_local_slabs_and_proven_current_family_nonoverlap
ST373,One-Dimensional Collision--Entropy Global Envelope,proven_global_lower_bound_closing_over_99_percent_of_previous_gap
ST374,Maximum-Coordinate Refined Global Envelope,proven_envelope_formula_strong_numerical_minimum_no_global_certificate
ST375,Certified Concentration Region for Every Global Competitor,proven_global_competitor_localization_to_twelve_concentrated_caps
ST376,Rank-Seven Interior Global-Cover Admission Stop,blocked_no_rank7_specific_global_envelope_or_complete_cover
ST377,Exact Quartic Mean-Zero D12 Reynolds Basis,proven_explicit_53_element_quartic_basis
ST378,Exact Sextic Mean-Zero D12 Reynolds Basis,proven_explicit_365_element_sextic_basis
ST379,Spectral Gap for the Frozen Chernoff Transfer Family,proven_conditional_spectral_gap_and_exponential_pressure_derivative_convergence
ST380,Continuum Soft-IR Primal--Dual KKT Certificate,proven_continuum_primal_dual_optimum
ST381,Fourier Certificates for Cyclic Observer Deficiency,proven_zero_deficiency_criterion_and_fourier_lower_bound
ST382,Nuisance-Aware Twelve-State Multinomial Recovery,proven_conditional_noise_amplification_and_calibration_floor
ST383,Rigorous Asymptotic Rate--Distortion Bracket,proven_conditional_asymptotic_bounds_and_endpoints
ST384,Dependent-Error Multilevel Clock Concentration,proven_conditional_covariance_decay_bound
ST385,New Strict Typed-Source Admission Gate,blocked_no_new_typed_source
ST386,Independent Evidence Gate,blocked_no_independent_events
