program,status,object,boundary
ST3087,Proven,EnvelopeBound,|K(d)|<=1/(1+d^eta)<=d^-eta.
ST3088,Proven,TanhBound,|tanh x|<=|x|.
ST3089,Proven,DyadicMajorant,|tanh K(2^n)|^3<=2^(-3eta n).
ST3090,Proven,GeometricSeries,Exact geometric majorant.
ST3091,Proven,AbsoluteSummability,For every eta>0.
ST3092,Proven,ThetaConvergence,Prior summability theorem applies.
ST3093,Proven,TailBound,Tail N bound proportional 2^(-3eta N)/(1-ratio).
ST3094,Proven,EtaThreshold,Any positive eta suffices dyadically.
ST3095,Proven,OscillationIrrelevance,Cosine signs do not affect absolute convergence.
ST3096,Proven,FinitePrefixDominance,Limit controlled mostly by low n.
ST3097,Proven,RobustPerturbations,Envelope-preserving tail perturbations remain convergent.
ST3098,Theorem,CertifiedClass,Dyadic strict-form extension belongs to bounded hierarchy class.
ST3099,Pass mathematical,SummabilityGate,Convergence unconditional after extension.
ST3100,Round verdict,RoundTwoVerdict,Tail stability is rigorous and does not need numerical cancellation.
ST3101,Recommendation,RoundTwoRecommendation,Audit extension domain.
