program,status,object,boundary
ST5067,Classified,inhomogeneous_anchor_Objective,Declared scope.
ST5068,Audited,inhomogeneous_anchor_Input,Prior strict/legacy packets.
ST5069,Constructed,inhomogeneous_anchor,Mathematical type separated.
ST5070,Proven or inherited,inhomogeneous_anchor_CoreStatement,Within declared class.
ST5071,Recorded,inhomogeneous_anchor_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST5072,Retained,inhomogeneous_anchor_PositiveContent,No overpromotion.
ST5073,Retained,inhomogeneous_anchor_Counterexample,Alternative representative or symmetry orbit.
ST5074,Passed boundary,inhomogeneous_anchor_SymmetryTest,Invariant data do not select free orbit member.
ST5075,Proven boundary,inhomogeneous_anchor_RemovalTest,Removing extra structure restores ambiguity.
ST5076,Classified,inhomogeneous_anchor_StrictStatus,Only fiber-invariant content is strict.
ST5077,Not established,inhomogeneous_anchor_PhysicalStatus,Units/OA/evidence checked separately.
ST5078,Separated,inhomogeneous_anchor_LegacyStatus,No silent role transfer.
ST5079,Installed,inhomogeneous_anchor_FalsificationRule,Reject claim if it varies in the declared fiber.
ST5080,Round verdict,inhomogeneous_anchor_RoundVerdict,Adaptive output.
ST5081,Recommendation,inhomogeneous_anchor_NextDependency,Next theme follows from this boundary.
