program,status,object,boundary
ST2667,Proven,StationaryFluxDecomposition,Stationary edge flow decomposes symmetric conductance plus divergence-free antisymmetric current.
ST2668,Proven,ReversiblePart,Detailed balance iff current vanishes.
ST2669,Proven,CirculationSpace,Cycle-space currents preserve stationarity.
ST2670,Proven exact,HypercubeCycleDimension,E-V+1.
ST2671,Constructed,FourCycleWitness,One oriented square in Q3.
ST2672,Proven,PositivePerturbation,Small +-epsilon keeps rates positive.
ST2673,Computed,Stationarity,Both signs preserve pi.
ST2674,Proven,OppositeCurrents,J and -J.
ST2675,Proven,SameStationaryLaw,Stationary Gibbs state unchanged.
ST2676,Computed,EntropyProduction,Both arrows have positive equal entropy production.
ST2677,Boundary,ComplexSpectrumBoundary,Nonnormal generators may have complex modes.
ST2678,Boundary,D12Boundary,D12 averaging can remove or retain sectors depending orientation representation.
ST2679,No-go,ArrowSourceNoGo,Pair core does not choose circulation orientation.
ST2680,Round verdict,RoundFourVerdict,Dropping reversibility adds at least a 20481-dimensional current freedom before symmetry.
ST2681,Recommendation,RoundFourRecommendation,Audit thermodynamic meaning.
