program,status,object,boundary
ST3462,Axiom,ClosureA,Set Hausdorff dimension D=eta.
ST3463,Axiom,ClosureB,Set normal walk exponent d_w=2.
ST3464,Conditional theorem,JointClosure,Together with binary branching.
ST3465,Computed,SelectedR,r=2^(1/eta).
ST3466,Computed,SelectedRho,rho=r^2/2.
ST3467,Computed,SelectedD,D.
ST3468,Computed,SelectedDw,d_w.
ST3469,Computed,SelectedDs,d_s.
ST3470,Proven,Consistency,d_s=D under d_w=2.
ST3471,Proven,Compactness,rho>1/2.
ST3472,Conditional,ParameterFreeGivenEta,No new continuous parameter after eta.
ST3473,No-go,PremiseAudit,D=eta and d_w=2 are not strict-derived.
ST3474,Fail strict,StrictGate,Numerical closure is axiom-augmented.
ST3475,Round verdict,RoundThreeVerdict,A small two-axiom bridge yields a coherent fractal diffusion.
ST3476,Recommendation,RoundThreeRecommendation,Compare alternative closures.
