program,status,object,boundary
ST7752,Declared,information_geometry_path_kl_Objective,Hundred-round FDT audit.
ST7753,Audited,information_geometry_path_kl_PriorEvidence,Hundred-round FDT audit.
ST7754,Constructed,information_geometry_path_kl_TypedObject,Hundred-round FDT audit.
ST7755,Proven or scoped,information_geometry_path_kl_Theorem,Hundred-round FDT audit.
ST7756,Recorded,information_geometry_path_kl_Derivation,Hundred-round FDT audit.
ST7757,Retained,information_geometry_path_kl_PositiveContent,Hundred-round FDT audit.
ST7758,Identified,information_geometry_path_kl_FreeParameter,Hundred-round FDT audit.
ST7759,Constructed,information_geometry_path_kl_Counterexample,Hundred-round FDT audit.
ST7760,Completed,information_geometry_path_kl_SymmetryAudit,Hundred-round FDT audit.
ST7761,Completed,information_geometry_path_kl_FDTTest,Hundred-round FDT audit.
ST7762,Classified,information_geometry_path_kl_StrictStatus,Hundred-round FDT audit.
ST7763,Not established,information_geometry_path_kl_PhysicalStatus,Hundred-round FDT audit.
ST7764,Installed,information_geometry_path_kl_FalsificationRule,Hundred-round FDT audit.
ST7765,Round verdict,information_geometry_path_kl_RoundVerdict,Hundred-round FDT audit.
ST7766,Recommendation,information_geometry_path_kl_NextDependency,Hundred-round FDT audit.
