program,status,object,boundary
ST3792,Required,BeyondSixData,Measure/derive couplings d>=7.
ST3793,Required,SmallKData,Large-N low-k eigenvalues.
ST3794,Decisive,SignTest,Literal signed tail predicts negative low modes.
ST3795,Decisive,PropagationTailTest,Fractional vs local spatial tails.
ST3796,Decisive,WaveSpeedTest,Finite vs divergent group speed.
ST3797,Required,SizeScaling,Multiple N.
ST3798,Required,HeatTraceTest,Multiple t.
ST3799,Required,CutoffVariation,Test stability under truncation.
ST3800,Required,TailPriorAudit,Declare regularizer/prior.
ST3801,No-go,Calibration,Length/time calibration absent.
ST3802,Boundary,FiniteSample,Long-range slopes need large range.
ST3803,No-go,SyntheticLimits,Current local computation is not evidence.
ST3804,Missing,ExternalRecord,No independently registered tail record.
ST3805,Round verdict,RoundNineVerdict,Classes are falsifiably distinct but untested externally.
ST3806,Recommendation,RoundNineRecommendation,Final synthesis.
