program,status,object,boundary
ST1032,proven_fixed_point_existence_does_not_imply_dynamical_stability,Bootstrap_FixedPoint_NotStability,General mathematical obstruction; no FIN-specific fixed-point law is assumed.
ST1033,proven_self_consistency_can_fail_to_select,IdentityMap_MaximalNonselection,Identity-map toy model.
ST1034,proven_unique_bootstrap_can_be_unstable,UnstableSelfConsistentFixedPoint,Discrete iteration example.
ST1035,proven_contraction_bootstrap_is_unique_and_attracting,Contraction_StableBootstrap,Conditional architecture; contraction is not strict-sourced.
ST1036,proven_self_coupling_can_still_decay_to_zero,SelfSourcing_CollapseCounterexample,Counterexample to verbal self-sourcing arguments.
ST1037,proven_closed_skew_circulation_preserves_global_quadratic_resource,ClosedSkewCirculation,"Three-sector toy model, not derived from strict A."
ST1038,constructed_internal_pump_as_zero_sum_transfer,InternalPump_GlobalConservation,A subsystem pump is admissible only with its source sector and backreaction included.
ST1039,proven_effective_subsystem_decay_is_compatible_with_total_persistence,SubsystemDissipation_GlobalPersistence,Requires an internal partition and coupling; it does not derive a FIN environment.
ST1040,proven_global_purity_can_coexist_with_subsystem_entropy,GlobalPure_SubsystemMixed,"Two-qubit Bell-state witness, used only as a finite information theorem."
ST1041,proven_pinching_erases_accessible_coherence_without_erasing_state,CoarsePinching_InformationLoss,Choice of observable algebra/basis is an additional operational structure.
ST1042,proven_finite_closed_unitary_has_almost_recurrence_not_immortality_theorem,FiniteClosed_AlmostRecurrence,Recurrence requires a finite/discrete spectral setting and says nothing about ontology outside the model.
ST1043,proven_positive_feedback_is_neither_necessary_nor_sufficient,PositiveFeedback_NotPersistence,Scalar counterexamples.
ST1044,constructed_bootstrap_persistence_theorem_schema,BootstrapPersistence_MinimalTheorem,"Conditional theorem, not a strict FIN closure."
ST1045,blocked_no_strict_bootstrap_stability_source,CurrentFIN_BootstrapGap,Current repository has self-reference language but no single certified full-state contraction/index/completeness theorem.
ST1046,recommended_ST1047_ST1061,RoundThree_Recommendation,Next round asks what total annihilation could mean to an observer who is inside the total state.
