program,status,object,boundary
ST7707,Declared,information_geometry_onsager_operator_Objective,Hundred-round FDT audit.
ST7708,Audited,information_geometry_onsager_operator_PriorEvidence,Hundred-round FDT audit.
ST7709,Constructed,information_geometry_onsager_operator_TypedObject,Hundred-round FDT audit.
ST7710,Proven or scoped,information_geometry_onsager_operator_Theorem,Hundred-round FDT audit.
ST7711,Recorded,information_geometry_onsager_operator_Derivation,Hundred-round FDT audit.
ST7712,Retained,information_geometry_onsager_operator_PositiveContent,Hundred-round FDT audit.
ST7713,Identified,information_geometry_onsager_operator_FreeParameter,Hundred-round FDT audit.
ST7714,Constructed,information_geometry_onsager_operator_Counterexample,Hundred-round FDT audit.
ST7715,Completed,information_geometry_onsager_operator_SymmetryAudit,Hundred-round FDT audit.
ST7716,Completed,information_geometry_onsager_operator_FDTTest,Hundred-round FDT audit.
ST7717,Classified,information_geometry_onsager_operator_StrictStatus,Hundred-round FDT audit.
ST7718,Not established,information_geometry_onsager_operator_PhysicalStatus,Hundred-round FDT audit.
ST7719,Installed,information_geometry_onsager_operator_FalsificationRule,Hundred-round FDT audit.
ST7720,Round verdict,information_geometry_onsager_operator_RoundVerdict,Hundred-round FDT audit.
ST7721,Recommendation,information_geometry_onsager_operator_NextDependency,Hundred-round FDT audit.
