program,status,object,boundary
ST2847,Computed,Jacobian,Central derivative.
ST2848,Proven numerical witness,FullRank,Rank five with large margin.
ST2849,Computed,Determinant,Nonzero.
ST2850,Computed,StationaryRank,"O1,O2."
ST2851,Computed,UntimedRank,O1-O3.
ST2852,Computed,TimedRank,O1-O4.
ST2853,Computed,ArrowRank,"O1-O3,O5."
ST2854,Removal,RemoveTheta,Lose equilibrium coupling.
ST2855,Removal,RemoveQ,Lose refinement.
ST2856,Removal,RemoveActivity,Lose kinetic shape.
ST2857,Removal,RemoveClock,Lose rate scale.
ST2858,Removal,RemoveCurrent,Lose arrow.
ST2859,Proven theorem,InvarianceOfDomain,No smooth one-scalar parametrization covers an open five-dimensional locally identifiable family.
ST2860,Round verdict,RoundFourVerdict,Five axes are locally independent in the declared operational model.
ST2861,Recommendation,RoundFourRecommendation,Translate to record/role package.
