program,status,object,boundary
ST4917,Classified,apparatus_Objective,Declared scope.
ST4918,Audited,apparatus_Input,Prior strict/legacy packets.
ST4919,Constructed,apparatus,Mathematical type separated.
ST4920,Proven or inherited,apparatus_CoreStatement,Within declared class.
ST4921,Recorded,apparatus_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST4922,Retained,apparatus_PositiveContent,No overpromotion.
ST4923,Retained,apparatus_Counterexample,Alternative representative or symmetry orbit.
ST4924,Passed boundary,apparatus_SymmetryTest,Invariant data do not select free orbit member.
ST4925,Proven boundary,apparatus_RemovalTest,Removing extra structure restores ambiguity.
ST4926,Classified,apparatus_StrictStatus,Only fiber-invariant content is strict.
ST4927,Not established,apparatus_PhysicalStatus,Units/OA/evidence checked separately.
ST4928,Separated,apparatus_LegacyStatus,No silent role transfer.
ST4929,Installed,apparatus_FalsificationRule,Reject claim if it varies in the declared fiber.
ST4930,Round verdict,apparatus_RoundVerdict,Adaptive output.
ST4931,Recommendation,apparatus_NextDependency,Next theme follows from this boundary.
