program,status,object,boundary
ST4857,Classified,polarity_selector_Objective,Declared scope.
ST4858,Audited,polarity_selector_Input,Prior strict/legacy packets.
ST4859,Constructed,polarity_selector,Mathematical type separated.
ST4860,Proven or inherited,polarity_selector_CoreStatement,Within declared class.
ST4861,Recorded,polarity_selector_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST4862,Retained,polarity_selector_PositiveContent,No overpromotion.
ST4863,Retained,polarity_selector_Counterexample,Alternative representative or symmetry orbit.
ST4864,Passed boundary,polarity_selector_SymmetryTest,Invariant data do not select free orbit member.
ST4865,Proven boundary,polarity_selector_RemovalTest,Removing extra structure restores ambiguity.
ST4866,Classified,polarity_selector_StrictStatus,Only fiber-invariant content is strict.
ST4867,Not established,polarity_selector_PhysicalStatus,Units/OA/evidence checked separately.
ST4868,Separated,polarity_selector_LegacyStatus,No silent role transfer.
ST4869,Installed,polarity_selector_FalsificationRule,Reject claim if it varies in the declared fiber.
ST4870,Round verdict,polarity_selector_RoundVerdict,Adaptive output.
ST4871,Recommendation,polarity_selector_NextDependency,Next theme follows from this boundary.
