program,object,status
ST190,Strict-Generated Dyadic Heat-Compression Hierarchy,proven_conditional_dimensionless_hierarchy_from_strict_semigroup
ST191,Blackwell-Minimal Operational Quotient,proven_exact_for_declared_finite_experiment
ST192,Equivariant Positive-Feedback Pointer Dynamics,proven_properties_for_constructed_law_with_numerical_trajectory_audit
ST193,Validated Multi-Slice Modal Continuation,proven_validated_modal_continuation
ST194,Generic Noncommuting-Qubit Recovery Certificate,proven_global_CPTP_optimum_for_declared_positive_orientation_random_unitary_channel
ST195,Detailed-Balance Selector Control under a Dissipation Budget,proven_thermodynamic_bound_and_constructive_quasistatic_convergence_for_supplied_control
ST196,Strict Nonlinear-Coupling Source Nonidentifiability,proven_infinite_family_nonidentifiability_theorem
ST197,Validated Nuisance Continuation Method Boundary,proven_cover_to_0_00013045_with_certificate_failure_at_0_00013050
ST198,Sampling Lower Bounds for Deep Compressed Modes,proven_information_bounds_for_declared_multinomial_and_Poisson_models
ST199,Sequential Projection onto an Exact Matrix-Factor Variety,proven_sequential_projection_theorem_with_numerical_noisy_recovery
ST200,Exact-Rational Finite-Record Observed-HMM Rate Enclosures,proven_finite_n_interval_rates_through_n12
ST201,Interval-Rank Certificate for Static Cross-Register Reset Generators,proven_no_go_for_declared_4_and_60_dimensional_static_local_spans
ST202,External Immutable-Record Execution Gate,blocked_correctly_no_external_record
