program,status,new_object,boundary
P394,"[Proven] complete exact Bernstein subdivision and range predicate reflected by Lean; [Open] Taylor, fifth-root, and Krawczyk generator reflection",O131 algorithm-reflected Bernstein certificate,"This removes Python from the Bernstein feasibility step only. Moment Taylor bounds, algebraic fifth roots, and the P366 Krawczyk map are not yet generated inside a proof assistant."
P395,[Strong evidence] simultaneous 25-equation KKT contact solution and locally nonsingular Jacobian; [Open] interval uniqueness and exact global dual feasibility,O132 seven-contact KKT extremal,A high-precision stationary point is not an interval theorem. Ill-conditioning and global polynomial feasibility still require exact Krawczyk/Bernstein certification.
P396,[Proven] Lean-checked logical reduction; [Blocked] formal Lindemann-Weierstrass provider in the local dependency-free stack,O133 transcendence dependency interface,"This is dependency localization, not a formal proof of Lindemann-Weierstrass and not an additional FIN axiom."
P397,[Refuted] C_damp is generated by a continuous positive additive-semigroup character,O134 additive-character damping obstruction,"Only this one declared source class is excluded. Subordination, nonlocal memory, fractional generators, and other RG laws are open."
P398,[Strong evidence] bounded canonical-chart multi-start alias atlas; [Open] global quotient identifiability,O135 bounded photonic alias atlas,Nonconvex multi-start optimization is not an exhaustive global proof. Complex transfer tomography and hardware calibration remain external.
P399,[Blocked by external evidence] calibrated photonic pilot,,"Repository code cannot manufacture apparatus output, calibration, independent custody, a frozen hold-out, or an unblinded result."
P400,[Strong evidence] optimized symmetry-reduced pure parallel lower bounds; [Open] exact adaptive noisy-comb optimum,O136 noise-adapted symmetric codebook,"The search is nonconvex and restricted to permutation-symmetric pure inputs without ancillas. It is a reproducible lower bound, not a proof of the unrestricted adaptive optimum."
P401,[Strong evidence] full twelve-mode one-use noisy optimization; [Open] unrestricted multi-use comb,O137 twelve-mode noisy discrimination simplex,The noise model is supplied and phenomenological. The result does not calibrate a twelve-mode apparatus or solve adaptive uses.
P402,[Proven] finite-grid conditional clock-error maximin design,O138 noisy clock maximin schedule,"The clock tube, dephasing law, relative-generator diameter, and finite design grid are supplied. This does not create time units."
P403,[Proven] executable schema and structural validator; [Blocked by external evidence] physical JSR execution,O139 JSR executable experiment contract,"A passing structure check cannot certify apparatus truth, independent custody, calibration validity, or physical FIN realization."
P404,[Proven] model-specific JSR negativity-to-mutual-information law,O140 JSR sign-information natural transformation,This law belongs to the JSR encoding. It is not a universal conversion among the five free FIN resource coordinates and does not make Shannon entropy thermodynamic entropy.
P405,[Proven] conditional sign-to-phase/asymmetry encoding; [Refuted] it supplies a non-premise strict selector,O141 binary sign-phase-asymmetry encoder,
P406,[Proven] existence and uniqueness conditional on one supplied quarter-tail law; [Strong evidence] certified numerical enclosure; [Refuted] canonicity from the strict kernel alone,O142 quarter-tail normalized outer section,"The factor 1/4 is an added normalization boundary law. It is dimensionless, not source-derived, and does not create a length, action, energy, or SI unit."
P407,[Blocked by external evidence] independent frozen QW hold-out,,"Repository code cannot manufacture apparatus output, calibration, independent custody, a frozen hold-out, or an unblinded result."
P408,[Blocked by external evidence] dimensional standards package,,"Repository code cannot manufacture apparatus output, calibration, independent custody, a frozen hold-out, or an unblinded result."
P409,[Blocked by external evidence] reservoir process tomography,,"Repository code cannot manufacture apparatus output, calibration, independent custody, a frozen hold-out, or an unblinded result."
P410,[Blocked by external evidence] electroweak blind-test bundle,,"Repository code cannot manufacture apparatus output, calibration, independent custody, a frozen hold-out, or an unblinded result."
