program,status,object,boundary
ST2307,Computed,StrictOrbitProfile,Twelve strictly positive and distinct orbit values.
ST2308,Constructed,CenteredLogCoordinates,Mean-zero log-ratio coordinates turn T_p into scalar multiplication y->p y.
ST2309,Proven theorem,PermutationSelfSimilarityTheorem,"If T_p(x)=P x for a permutation P, then p||y||=||Py||=||y||; for p>0 and nonconstant x, p=1."
ST2310,Computed witness,IdempotenceNumericalWitness,Large residuals reject nontrivial idempotence on the strict profile.
ST2311,Proven/Computed,CompressionEntropyFlow,For 0<p<1 the normalized power map moves the finite profile toward uniformity.
ST2312,Proven/Computed,SharpeningEntropyFlow,For p>1 the map sharpens the largest orbit and lowers entropy.
ST2313,Proven no-go,FixedProfileNoGo,"A nonconstant finite positive profile cannot be an exact fixed shape of T_p for p not equal to 1, even up to relabelling."
ST2314,Boundary,IdentityBranchBoundary,p=1 preserves the profile but performs no compression or renormalization evolution.
ST2315,Boundary,ErasureBranchBoundary,p=0 is idempotent but collapses all orbit information to uniformity.
ST2316,Proven,SemigroupRateFreedom,"Without fixed-profile/idempotence, p_n may vary and cumulative exponent is product_n p_n."
ST2317,Proven escape,LevelDependentEscape,A direct level-n map may use the cumulative exponent; ordinary path composition remains exact for arbitrary sequences.
ST2318,Guardrail alignment,VerticalRateCompatibility,Independent vertical q_N modes from ST552--ST641 supply further unsourced refinement freedom.
ST2319,Kernel-split boundary,LegacySignedBoundary,Legacy loop products have both signs; real noninteger powers require abs/sign choices.
ST2320,Round verdict,RoundFourVerdict,Exact finite self-similarity selects only identity or erasure; nontrivial fractal evolution requires new level data.
ST2321,Recommendation,RoundFourRecommendation,"Construct the minimal instrument and non-Gaussian state law that would make hidden ternary information operational, then mark every added premise."
