program,status,object,boundary
ST1107,proven_finite_matrix_exponentials_are_global,FiniteLinear_CompleteFlows,Only the selected linear laws.
ST1108,proven_finite_CTMC_generator_criterion_paid,MarkovGenerator_IffCriterion,Standard finite-state theorem applied to Q=-A.
ST1109,proven_strict_heat_is_positive_and_mass_preserving_for_all_t,StrictHeat_ConservativeCertificate,"Follows from the Metzler-generator theorem, stronger than sampling times."
ST1110,proven_one_parameter_killing_extensions_exist,UniformKilling_Counterfamily,Each gamma is additional physics/mathematics.
ST1111,proven_hamiltonian_density_flow_is_complete_CPTP_group,HamiltonianDensity_CompleteFlow,Quantum density-state category supplied.
ST1112,constructed_A_sourced_dephasing_family,A_Dephasing_LindbladFamily,Rate gamma remains free; this is not selected by A alone.
ST1113,proven_canonical_relaxation_jump_requires_extra_selector_inside_degenerate_shells,RelaxationJump_SelectorObstruction,A has five two-dimensional eigenspaces.
ST1114,proven_trace_preservation_equals_Lstar_identity_zero,TracePreservation_HeisenbergCriterion,Finite quantum dynamical semigroup.
ST1115,proven_infinitely_many_complete_channels_share_A,InfiniteChannelFamily_Underdetermination,"Hamiltonian, dephasing rates, Markov heat and killed laws are inequivalent."
ST1116,proven_linear_no_killing_is_a_generator_constraint,NoKilling_LinearClassification,Not an ontological consequence of self-reference.
ST1117,blocked_no_full_nonlinear_completeness_from_A,NonlinearBoundary_NotControlled,A controls only the linear part; nonlinear growth and boundary behavior require a specified law.
ST1118,proven_compact_state_space_needs_tangent_invariant_vector_field,CompactState_NotEnoughForVectorField,Compactness alone does not stop a proposed ambient vector field from leaving the set.
ST1119,strict_no_killing_proven_only_for_declared_linear_channels,StrictNoKilling_CurrentScope,No universal theorem over future nonlinear/open extensions.
ST1120,kernel_to_complete_full_flow_bridge_open_and_nonunique,CompletenessBridge_Verdict,The linear channels are complete but mutually incompatible as state ontologies.
ST1121,recommended_ST1122_ST1136,RoundTwo_Recommendation,Next round tests whether heat can be internalized without an external pump.
