program,status,object,boundary
ST5187,Classified,rg_section_Objective,Declared scope.
ST5188,Audited,rg_section_Input,Prior strict/legacy packets.
ST5189,Constructed,rg_section,Mathematical type separated.
ST5190,Proven or inherited,rg_section_CoreStatement,Within declared class.
ST5191,Recorded,rg_section_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST5192,Retained,rg_section_PositiveContent,No overpromotion.
ST5193,Retained,rg_section_Counterexample,Alternative representative or symmetry orbit.
ST5194,Passed boundary,rg_section_SymmetryTest,Invariant data do not select free orbit member.
ST5195,Proven boundary,rg_section_RemovalTest,Removing extra structure restores ambiguity.
ST5196,Classified,rg_section_StrictStatus,Only fiber-invariant content is strict.
ST5197,Not established,rg_section_PhysicalStatus,Units/OA/evidence checked separately.
ST5198,Separated,rg_section_LegacyStatus,No silent role transfer.
ST5199,Installed,rg_section_FalsificationRule,Reject claim if it varies in the declared fiber.
ST5200,Round verdict,rg_section_RoundVerdict,Adaptive output.
ST5201,Recommendation,rg_section_NextDependency,Next theme follows from this boundary.
