program,status,object,boundary
ST3027,Constructed,EtaInspiredLaw,q_n=q0 2^-eta n.
ST3028,Computed,ConvergenceReplay,1000 levels.
ST3029,Computed,ExponentSensitivity,All positive exponents converge but to different limits.
ST3030,Computed,AmplitudeSensitivity,Limit varies q0.
ST3031,Proven,ThetaInitialSensitivity,Map preserves memory of theta0.
ST3032,Proven,TailBound,Tail controlled by sum tanh(q_n)^3.
ST3033,Conditional,FiniteDepthError,Explicit geometric tail bound available.
ST3034,Refuted,NoUniversalLimit,No universal theta infinity.
ST3035,Proven,NoAttractor,Summable positive maps do not erase initial-condition dependence.
ST3036,Proven,PerturbationRobustness,Boundedness robust for eta>0.
ST3037,Boundary,LargeFirstLevels,Finite prefix can strongly amplify.
ST3038,Boundary,Ordering,Mixed-sign order matters.
ST3039,Gate pass mathematical,NumericalGate,Bounded eta-inspired hierarchy exists.
ST3040,Round verdict,RoundFourVerdict,Eta-like decay regularizes but does not predict the final order.
ST3041,Recommendation,RoundFourRecommendation,Audit eta-to-q provenance.
