program,status,object,boundary
ST1362,constructed_exact_decimal_spectral_model,FrozenDecimalSpectrum,"Certificate is for these decimals, not symbolic kernel parameters."
ST1363,constructed_outward_mpmath_interval_contract,IntervalArithmeticContract,Relies on mpmath interval implementation.
ST1364,proven_candidate_point_lower_bound_in_frozen_decimal_model,CandidatePointLowerBound,Outward interval point evaluation.
ST1365,constructed_complete_Taylor_interval_cover_outside_target,GlobalCoverConstruction,Mean-value/Taylor enclosure per box.
ST1366,proven_all_outside_boxes_below_candidate_value,OutsideCoverUpperBound,Global exclusion outside target interval.
ST1367,proven_F_positive_on_target_interval,TargetIntervalPositivity,Therefore |F|=F there.
ST1368,proven_strict_concavity_on_target_interval,TargetIntervalStrictConcavity,Outward second derivative enclosure.
ST1369,proven_positive_derivative_at_left_root_endpoint,LeftDerivativeSign,Point interval.
ST1370,proven_negative_derivative_at_right_root_endpoint,RightDerivativeSign,Point interval.
ST1371,proven_unique_stationary_root_in_bracket,UniqueRootBracket,Intermediate value plus strict decreasing derivative.
ST1372,proven_unique_global_maximum_of_absolute_return_gap_on_0_10_for_frozen_decimal_spectrum,UniqueGlobalMaximumTheorem,"Combines outside cover, positivity, concavity and derivative signs."
ST1373,proven_maximum_value_bracket,MaximumValueBracket,Center lower plus mean-value upper on root bracket.
ST1374,upgraded_release1098_strong_numerical_maximum_to_interval_theorem_for_frozen_decimal_model,Release1098_Upgrade,Scope narrowed explicitly.
ST1375,certificate_does_not_cover_symbolic_kernel_or_eigenvalue_uncertainty,CertificateScope,No promotion beyond input model.
ST1376,recommended_ST1377_ST1391,RoundOne_Recommendation,Interval-certify four-time composite separation over the nuisance box.
