program,status,object,boundary
ST6657,Declared,falsification_minimality_strict_conditional_split_Objective,Fifty-round master audit.
ST6658,Audited,falsification_minimality_strict_conditional_split_EvidenceIntake,Fifty-round master audit.
ST6659,Constructed,falsification_minimality_strict_conditional_split_TypedCandidate,Fifty-round master audit.
ST6660,Proven or scoped,falsification_minimality_strict_conditional_split_Theorem,Fifty-round master audit.
ST6661,Recorded,falsification_minimality_strict_conditional_split_ProofIdea,Fifty-round master audit.
ST6662,Retained,falsification_minimality_strict_conditional_split_PositiveResult,Fifty-round master audit.
ST6663,Constructed,falsification_minimality_strict_conditional_split_Counterexample,Fifty-round master audit.
ST6664,Completed,falsification_minimality_strict_conditional_split_SymmetryAudit,Fifty-round master audit.
ST6665,Completed,falsification_minimality_strict_conditional_split_VariationalAudit,Fifty-round master audit.
ST6666,Completed,falsification_minimality_strict_conditional_split_ProbabilityAudit,Fifty-round master audit.
ST6667,Completed,falsification_minimality_strict_conditional_split_DynamicAudit,Fifty-round master audit.
ST6668,Classified,falsification_minimality_strict_conditional_split_StrictBoundary,Fifty-round master audit.
ST6669,Not established,falsification_minimality_strict_conditional_split_PhysicalBoundary,Fifty-round master audit.
ST6670,Round verdict,falsification_minimality_strict_conditional_split_RoundVerdict,Fifty-round master audit.
ST6671,Recommendation,falsification_minimality_strict_conditional_split_NextDependency,Fifty-round master audit.
