program,status,headline
P309,[Proven] two-pole minimax obstruction; [Strong evidence] finite E-optimal probe design,finite probes cannot remove the pole-collision minimax modulus
P310,[Proven] general completion-square implication and exact block identities; [Blocked] full Mathlib matrix formalization,Schur minimization follows from a certified square completion
P311,[Proven] loss-completed POVM algebra; [Strong evidence] component-drift tolerance audit,loss and no-click effects complete the synthetic current readout
P312,[Proven] nontrivial joint-feature parent after explicit legacy positivity repair; [Refuted] source/completion theorem,a cross-supported parent exists but imports both target operators
P313,[Proven] positive hyperbolic-mixture tail obstruction; [Strong evidence] finite-fit extrapolation audit,positive legacy-scale mixtures cannot have the strict tail
P314,[Proven] torsion-to-nontorsion phase obstruction and minimal one-generator extension for the frozen decimal tuple,strict phase needs one new infinite-order generator
P315,[Proven] finite-menu operational lower bounds; [Refuted] operational equivalence after scale alignment,legacy and strict remain operationally separable after scale fit
P316,[Proven] positive path cone exclusion and analytic negativity lower bound; [Strong evidence] discretized minimum signed resource,strict attenuation requires a nonzero signed path resource
P317,[Blocked by external evidence] no admitted P241 laboratory event package,the independent laboratory bundle gate remains closed
P318,[Strong evidence] synthetic Bayesian/Laplace sequential drift audit,a tuned dynamic filter improves the supplied drift model
P319,[Proven] finite chamber upper bound and Bonferroni rule; [Strong evidence] exhaustive LP chamber feasibility/rank,the positive simplex contains all 720 spectral order chambers
P320,[Proven] scale/clock rank obstruction; [Strong evidence] restricted-clock E-optimal time design,clock identifiability requires a restricted family and calibration
P321,[Blocked by external evidence] no admitted physical reservoir hardware package,the physical reservoir hardware gate remains closed
P322,[Proven] two-sector pointing obstruction; [Refuted] current electroweak role-transfer certificate,an unpointed spectrum cannot transfer the electroweak role
