program,object,status
ST118,Universal Fine-Blind Operational Equivalence,proven_universal_property_conditional_on_explicit_fine_gauge_equivalence
ST119,Complete Circulant Section of the Lift Spectrahedron,proven_exact_circulant_polyhedral_classification
ST120,Dependency-Minimal Independent ST108 Replay,proven_independent_two_dependency_interval_replay
ST121,Normal Form of Every Maximal Pinching-Recoverable Code,proven_complete_maximal_code_normal_form
ST122,Strict Functional-Calculus State Nonselection Theorem,proven_no_nonuniform_selector_in_strict_invariant_state_class
ST123,Minimal Scalar Pump and Saturation Extension,proven_constructed_minimal_active_bifurcation_and_cost_balance
ST124,Continuous-Beta Chernoff Optimum Certificate,strong_local_certificate_global_cover_incomplete
ST125,Mixed-Degree Z2 Refinement Classification,proven_mixed_refinement_parity_theorem
ST126,Gauge-Net Alternative to Vertex Locality,proven_conditional_gauge_net_construction_and_locality_no_go
ST127,Correlated-Event Error-Exponent Impossibility,proven_no_positive_count_exponent_under_arbitrary_temporal_correlation
ST128,Exact Separation for a Declared Zero-Hamiltonian Bath Class,proven_CGP_outside_declared_zero_energy_bath_subclass
ST129,Minimax Fine Observable against the Adversarial Lift Simplex,proven_exact_minimax_diagonal_fine_detector
