program,object,status
ST203,Semigroup-Schedule Nonidentifiability Theorem,proven_exact_schedule_collapse_and_geometric_family_no_go
ST204,Complete Blackwell Lattice of the Minimal FIN Experiment,proven_exact_complete_partition_lattice
ST205,Strict-Covariant Fluctuation Candidate and Selector No-Go,proven_covariance_and_symmetry_no_go_with_seeded_selection_audit
ST206,Validated Two-Sided Pseudo-Arclength Segment,proven_local_pseudo_arclength_segment
ST207,Negative-Orientation Pauli Recovery over All CPTP Maps,proven_global_CPTP_optimum_for_negative_orientation_Pauli_channel
ST208,Finite-Time Selector Speed Limit under Frozen Resources,proven_time_optimum_and_constant_control_entropy_for_reduced_family
ST209,Minimal Carrier-Scale-Invariant Nonlinear Response,proven_response_invariant_and_jet_minimality
ST210,Adaptive Refinement beyond the ST197 Fixed-Grid Boundary,proven_complete_halfwidth_0_0002_cover
ST211,Simultaneous Deep-Mode Sampling with Correlated Counts,proven_local_Fisher_minimax_and_exchangeable_cluster_inflation
ST212,Global Nearest-Joint-Factor Nonuniqueness Counterexample,proven_continuum_of_global_minimizers
ST213,Rigorous Asymptotic Observed-HMM Rate Bracket,proven_rate_existence_and_explicit_asymptotic_bracket
ST214,Time-Dependent Pointwise Energy-Conserving Local-Reset No-Go,proven_no_go_for_time_dependent_pointwise_conserving_declared_span
ST215,Dimensionless Diffusion Geometry from the Strict Layer Tower,proven_metric_and_first_mode_asymptotic_geometry
ST216,"Formal Separation of Viewing, Sufficiency, and Reconstruction",proven_general_finite_channel_distinction_with_FIN_examples
ST217,Immutable External-Evidence Gate Re-audit,blocked_correctly_no_external_record
