program,object,status
ST70,Standard-Library Exact-Rational Replay of the ST58 Certificate,proven_exact_rational_replay_with_explicit_upstream_interval_trust_boundary
ST71,Time-Oriented Odd-Response Cone Classification,proven_relative_classification_of_time_oriented_positive_gain_cone
ST72,C24 Spin-Cover Construction and Strict-Source Obstruction,proven_nontrivial_spin_cover_exists_and_scalar_strict_data_do_not_select_it
ST73,Nonstationary Fine-Mode Rate-Distortion Refinement,proven_conditional_fine_data_selection_and_no_canonical_source_from_coarse_operator
ST74,Nuisance-Robust Synthetic Minimax Count Bracket,proven_conservative_count_bracket_for_declared_synthetic_uncertainty_sets
ST75,Complete CPTP Intertwiner Cone Characterization,proven_complete_finite_CPTP_intertwiner_cone_characterization
ST76,Relative Minimality of the Thermodynamic Conversion Package,proven_relative_resource_minimality_with_removal_countermodels
ST77,Reflection-Reduced Pseudo-Arclength Continuation Through the ST65 Fold,strong_numerical_simple_fold_and_return_branch_not_interval_certified
ST78,Strict-Doublet Stiffness Backreaction on the Twelve-Branch Potential,proven_conditional_backreaction_threshold_for_constructed_potential
ST79,Stabilizer No-Go for a Strict-Sourced Bargmann Chirality,proven_stabilizer_obstruction_for_deterministic_strict_bargmann_chirality
ST80,Ed25519 Signed-Custody and Frozen-Nuisance Validator,constructed_executable_signed_custody_validator_with_synthetic_test_keys
ST81,Post-ST80 W0+CA+SA Source Architecture,proven_no_strict_source_group_reduction_after_ST70_ST80
