program,status,object,boundary
ST4737,Classified,refinement_rates_Objective,Declared scope.
ST4738,Audited,refinement_rates_Input,Prior strict/legacy packets.
ST4739,Constructed,refinement_rates,Mathematical type separated.
ST4740,Proven or inherited,refinement_rates_CoreStatement,Within declared class.
ST4741,Recorded,refinement_rates_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST4742,Retained,refinement_rates_PositiveContent,No overpromotion.
ST4743,Retained,refinement_rates_Counterexample,Alternative representative or symmetry orbit.
ST4744,Passed boundary,refinement_rates_SymmetryTest,Invariant data do not select free orbit member.
ST4745,Proven boundary,refinement_rates_RemovalTest,Removing extra structure restores ambiguity.
ST4746,Classified,refinement_rates_StrictStatus,Only fiber-invariant content is strict.
ST4747,Not established,refinement_rates_PhysicalStatus,Units/OA/evidence checked separately.
ST4748,Separated,refinement_rates_LegacyStatus,No silent role transfer.
ST4749,Installed,refinement_rates_FalsificationRule,Reject claim if it varies in the declared fiber.
ST4750,Round verdict,refinement_rates_RoundVerdict,Adaptive output.
ST4751,Recommendation,refinement_rates_NextDependency,Next theme follows from this boundary.
