program,status,object,boundary
ST4962,Classified,vertical_group_Objective,Declared scope.
ST4963,Audited,vertical_group_Input,Prior strict/legacy packets.
ST4964,Constructed,vertical_group,Mathematical type separated.
ST4965,Proven or inherited,vertical_group_CoreStatement,Within declared class.
ST4966,Recorded,vertical_group_ProofMechanism,Finite theorem/counterexample/functorial argument.
ST4967,Retained,vertical_group_PositiveContent,No overpromotion.
ST4968,Retained,vertical_group_Counterexample,Alternative representative or symmetry orbit.
ST4969,Passed boundary,vertical_group_SymmetryTest,Invariant data do not select free orbit member.
ST4970,Proven boundary,vertical_group_RemovalTest,Removing extra structure restores ambiguity.
ST4971,Classified,vertical_group_StrictStatus,Only fiber-invariant content is strict.
ST4972,Not established,vertical_group_PhysicalStatus,Units/OA/evidence checked separately.
ST4973,Separated,vertical_group_LegacyStatus,No silent role transfer.
ST4974,Installed,vertical_group_FalsificationRule,Reject claim if it varies in the declared fiber.
ST4975,Round verdict,vertical_group_RoundVerdict,Adaptive output.
ST4976,Recommendation,vertical_group_NextDependency,Next theme follows from this boundary.
