program,status,object,boundary
ST3522,Proven,HeatSemigroupFamily,Every rho>1/2 gives heat semigroup.
ST3523,Proven,RhoContinuum,Continuum remains.
ST3524,Proven,WalkExponentFormula,d_w=log(2rho)/logr.
ST3525,Proven,DwRange,"Varies with r,rho."
ST3526,No-go,HeatExistence,Semigroup existence does not imply d_w=2.
ST3527,No-go,MarkovProperty,Markov positivity does not imply d_w=2.
ST3528,Proven,CompactnessOnly,Compactness gives rho>1/2 only.
ST3529,Conditional,Dw2Condition,Normal diffusion axiom.
ST3530,Proven,Dw2RhoRelation,d_w=2 iff 2rho=r^2.
ST3531,No-go,RFreedom,Relation leaves r free.
ST3532,Constructed,Counterexamples,Many r with rho=r^2/2.
ST3533,Prior witness,FiniteTreeWitness,Same tree different spectra.
ST3534,Fail,StrictHeatGate,Strict P_t does not select d_w.
ST3535,Round verdict,RoundOneVerdict,d_w=2 is an extra scaling axiom.
ST3536,Recommendation,RoundOneRecommendation,Analyze spatial tail symbol.
