program,status,object,boundary
ST1437,proven_unique_global_return_gap_maximum_for_frozen_decimal_spectrum,CertifiedTimeMaximum,"Interval arithmetic on [0,10]."
ST1438,proven_positive_four_time_composite_RSS_lower_bound_on_declared_box,CertifiedCompositeIdentifiability,Interval cover of 1000 cells.
ST1439,proven_explicit_preparation_detector_and_loss_responsibilities,CalibrationErrorBudget,Not full hardware uncertainty.
ST1440,proven_seven_distance_classes_are_sufficient_and_more_informative_than_binary_return,FullLikelihoodUpgrade,Frozen simple hypotheses.
ST1441,proven_anytime_valid_symmetric_likelihood_boundary_errors_for_simple_models,AnytimeValidSimpleTest,Ville martingale theorem.
ST1442,proven_simple_and_composite_claims_must_remain_separate,SimpleVsCompositeClaimSeparation,Composite plug-in LR is not automatically safe.
ST1443,constructed_protocol_10_99_with_interval_and_sequential_certificates,Protocol1099Status,Synthetic validator only.
ST1444,blocked_no_independent_calibration_custody_or_nature_events,EvidenceBoundary,Mathematical transfer readiness only.
ST1445,certified_discriminator_strengthens_conditional_OA_not_strict_state_selection,OAArchitectureImpact,Ontology remains postulated.
ST1446,protocol_tests_internal_dynamics_not_total_nadsoliton_nonexistence,AnnihilationScope,Annihilation boundary preserved.
ST1447,listed_remaining_mathematical_blockers,RemainingMathematicalBlockers,No premature laboratory transfer.
ST1448,recommended_next_programmes,RecommendedNextProgrammes,Nonreplay continuation.
ST1449,installed_certificate_and_protocol_stop_rules,StopRules,Preserve scope.
ST1450,strict_FIN_physics_status_unchanged_despite_stronger_conditional_certificates,StrictCoreBoundary,No ToE promotion.
ST1451,six_round_cycle_complete_report_required,CycleSix_ReportTrigger,Release 10.99.
