program,status,object,boundary
ST2937,Constructed,ConstantQIteration,"theta_(n+1)=RG(theta_n,q)."
ST2938,Proven,PositiveLimit,"q>0, nonzero theta tends in magnitude to infinity."
ST2939,Proven,NegativeLimit,q<0 tends to zero.
ST2940,Proven,NeutralLimit,q=0 constant.
ST2941,Computed,NumericalTrajectories,Declared trajectories.
ST2942,Proven,RateDependence,Convergence depends q.
ST2943,Boundary,LevelSequence,Arbitrary q_n gives controlled nonautonomous flow.
ST2944,Proven,CompositionNonsemigroup,RG maps do not reduce to addition of q.
ST2945,Conditional,AlternatingQ,Signs can cancel/amplify across levels.
ST2946,No-go,FineTuning,Maintaining finite nonzero theta needs selected q_n control.
ST2947,Boundary,SaturationMeaning,"Infinite theta is perfect-order boundary, not finite physics."
ST2948,Boundary,ErasureMeaning,"Zero theta is loss of ternary order, not Landauer heat."
ST2949,Gate fail,IterationGate,No strict multilevel q sequence.
ST2950,Round verdict,RoundFourVerdict,Nontrivial bounded hierarchy requires new level control.
ST2951,Recommendation,RoundFourRecommendation,Test inverse identification/source.
