program,status,object,boundary
ST4377,Proven,InvariantObservable,
ST4378,Proven,FiberConstancy,
ST4379,Proven,QuotientMap,
ST4380,Proven,FactorizationTheorem,
ST4381,Proven,Uniqueness,
ST4382,Proven,Converse,
ST4383,Proven,RobustClaimDefinition,
ST4384,Proven,FiniteCoreClaims,
ST4385,Proven,TailSensitiveClaims,
ST4386,Proven,SpeedNotInvariant,
ST4387,Proven,DimensionNotInvariant,
ST4388,Proven,CausalityNotInvariant,
ST4389,Proven,PhysicalPredictionBoundary,
ST4390,Round verdict,RoundVerdict,
ST4391,Recommendation,Next,
