program,status,object,boundary
ST8442,Boundary,BoundaryBehavior,"Lambda(a,0)->0."
ST8443,Proven,LogMeanAtZero,Continuous nonnegative extension.
ST8444,Proven,InwardFlux,Heat equation has inward positive flux at empty vertex.
ST8445,Proven,SimplexInvariance,P_t stochastic for conductance A.
ST8446,Proven,EntropyLyapunov,H decreases.
ST8447,Proven,DetailedBalance,Uniform stationary law.
ST8448,Proven,Reversibility,A symmetric.
ST8449,Constructed,MetricTensor,K_p on tangent space.
ST8450,Proven,DegenerateZeroMode,Constants are kernel.
ST8451,Conditional,ConvergenceRate,Controlled by strict spectral gap.
ST8452,Known finite,SpectralGap,Gap positive.
ST8453,Proven,NoBlowup,Linear heat globally bounded.
ST8454,No-go,NegativeInformationSign,Reversing entropy gradient gives backward heat/instability.
ST8455,Round verdict,RoundFourVerdict,Candidate is globally well-posed for the finite heat channel.
ST8456,Recommendation,RoundFourRecommendation,Alternative entropies.
