program,object,status
ST106,Naturality and Symmetry Classification for the Observable Algebra,proven_symmetry_classification_and_fine_blindness_premise_identified
ST107,Faces and Recession Geometry of the Complete Lift Spectrahedron,proven_recession_cone_and_one_exact_vertex_partial_facial_classification
ST108,Transcendental-Kernel Fold Certificate,proven_uniform_interval_fold_for_declared_transcendental_kernel
ST109,Maximal Quantum Code Recoverable after Coarse/Fine Pinching,proven_maximal_twelve_dimensional_recoverable_code
ST110,Equivariant Branch Measure and Nonselection Theorem,proven_unique_uniform_measure_and_deterministic_nonselection
ST111,One-Antisymmetric-Block Memory Realization,proven_antisymmetric_memory_remains_passive
ST112,Synthetic Fisher/Chernoff Design under Temperature and Detector Nuisance,strong_numerical_design_with_exact_fisher_formula
ST113,Z2 Spin Twists on the Directed Refinement Category,proven_finite_refinement_category_twist_classification
ST114,Observable Algebra Generated by Vertex Locality,proven_locality_selects_too_large_an_algebra
ST115,Global Independent-Nuisance Chernoff Certificate,proven_global_independent_box_worst_corner
ST116,Typing Obstruction for CGP versus Thermal Operations,proven_current_artifact_typing_obstruction_strict_separation_remains_open
ST117,Adversarial Projection Alternatives from Extreme Rays,proven_adversarial_noncirculant_lift_family
