program,status,object,boundary
ST4542,Proven,LegacyRestriction,
ST4543,Proven,StrictRestriction,
ST4544,Proven,SeparateFibers,
ST4545,Proven,CompletionMap,
ST4546,Proven,TailMap,
ST4547,Proven,RoleMap,
ST4548,Proven,NoCommonSection,
ST4549,Proven,AmplitudeDifference,
ST4550,Proven,SignDifference,
ST4551,Proven,DampingDifference,
ST4552,Proven,BridgeNeedsStructure,
ST4553,Proven,RoleTransferDownstream,
ST4554,Proven,KernelSplitPreserved,
ST4555,Round verdict,RoundVerdict,
ST4556,Recommendation,Next,
