program,status,object,boundary
ST2607,Proven,StateTheorem,Ternary Gibbs and stationary prism RG.
ST2608,Proven,GeneratorClassification,Positive reversible conductance cone.
ST2609,No-go,OrbitNoGo,Symmetry leaves 1056 activities.
ST2610,No-go,RateRuleNoGo,Three standard rates inequivalent.
ST2611,No-go,CaliberNoGo,Maximum caliber needs prior/budget.
ST2612,No-go,LumpabilityNoGo,q nonzero blocks Markov projection.
ST2613,No-go,DualDynamicsNoGo,A does not uniquely lift to Q.
ST2614,Gate constructed,Gate,Ten rows.
ST2615,Gate result,GateScore,Three mathematical passes.
ST2616,Ledger,ProvenLedger,State and stationary RG.
ST2617,Ledger,ConditionalLedger,Any chosen reversible Q and instrument.
ST2618,Ledger,RefutedLedger,Unique/sourced/physical generator.
ST2619,Recommendation,HighestValueNext,A strict kinetic activity/clock source or an impossibility theorem beyond reversible single flips.
ST2620,Final verdict,FinalInterpretation,FIN fixes equilibrium interaction shape but not kinetics; stationary RG is not dynamical physics.
ST2621,Cycle complete,CycleTrigger,Release 11.12.
