program,object,status
ST178,Irreversible-Carrier Sufficient-Statistic Theorem,proven_exact_for_finite_stochastic_coarse_grainings
ST179,State-Dependent Equivariant Interaction Candidate,proven_conditional_state_to_pointer_compiler_with_no_start
ST180,Validated Nonuniform Continuation from Exact Uniform Folds,proven_local_slice_continuations
ST181,Three-Error Nonorthogonal Phase-Recovery Certificate,proven_exact_for_arbitrary_finite_commuting_qubit_phase_families
ST182,Detailed-Balance Selector Control Model,proven_exact_for_declared_controlled_markov_family
ST183,Equivalent Twelfth-Order Coupling Observables,proven_exact_conditional_response_identification
ST184,Third-Generation Adaptive Nuisance Continuation,proven_extended_uniform_cover
ST185,Layered-Compression Visibility Spectrum,proven_exact_layer_visibility_and_data_processing_theorem
ST186,Factor-Algebra Recovery and Gauge-Ambiguity Audit,proven_exact_noiseless_classification_with_numerical_noisy_audit
ST187,Observed-HMM versus Pair-Path Exponent Gap Audit,proven_finite_bound_with_strong_asymptotic_gap_evidence
ST188,Energy-Conserving Reset Locality Audit,proven_global_swap_identity_with_strong_pairwise_ansatz_no_go_evidence
ST189,External Immutable-Record Validation Interface,proven_executable_interface_self_test_no_external_record
