program,status,main_finding
ST16,proven_jordan_chain_reduction_strong_numerical_collision_location,Jordan-chain criterion derived; collision speed remains non-interval numerical
ST17,proven_no_go_for_stabilizer_invariant_additional_generators,all stabilizer-invariant generators remain in the seven-dimensional radial algebra
ST18,proven_infinite_positive_refinement_fiber_no_internal_selector,infinite exact positive C24 refinement fiber proves continued nonuniqueness
ST19,proven_synthetic_cross_channel_falsifier_not_physical_prediction,derived mixed-channel preregistration separates synthetic altered generators
ST20,interval_certified_scalar_branches_conditional_on_mpmath_iv,scalar branches and projector matching interval-certified under mpmath.iv
ST21,proven_conditional_locality_bounds_and_computed_long_range_tail,finite-range path bounds proved; long-range tail remains nonlocal and signed
ST22,proven_relative_minimality_after_operational_packaging,nine map obligations compress to five groups under operational packaging
ST23,proven_no_go_for_continuous_stabilizer_equivariant_connection_from_A_alone,nonzero continuous dihedral-natural U1 connection from A alone is impossible
ST24,proven_asymptotic_coercivity_classification_for_declared_family,coercive saturation classes classified by asymptotic exponent
ST25,blocked_no_configured_lean_toolchain_source_not_machine_checked,Lean source exported but no configured toolchain; not machine checked
ST26,proven_multiweight_scale_orbit_and_single_dimension_obstruction,multiweight scale action proves a single dimension assignment is insufficient
ST27,proven_adversarial_no_refit_principle_with_strong_numerical_detection_curve,isospectral sector refits defeat spectral tests but frozen matrix tests reject them
