program,object,status
ST142,Automorphism-Natural Operational Quotient No-Go,proven_no_fine_blind_quotient_in_full_automorphism_natural_class
ST143,Complete Coordinate-Edge Star at the Lift Vertex,proven_exact_66_segment_plus_12_ray_coordinate_edge_star
ST144,Multibasin Fold Search with Local Interval Certificates,proven_multiple_local_roots_with_strong_nonexhaustive_multistart_map
ST145,Optimal Recovery for Coherent Involution Leakage with Asymmetric Syndrome Readout,proven_optimal_recovery_for_declared_coherent_syndrome_model
ST146,Positive Selector Cost under a Robust Preparation Gap,proven_positive_cost_conditional_on_robust_preparation_gap
ST147,C12-Equivariant Nonlinear Mode Bifurcation,proven_constructed_C12_equivariant_twelve_branch_bifurcation
ST148,Nuisance-Box Continuation and First Certification Boundary,proven_uniform_continuation_through_largest_passed_box_with_method_boundary
ST149,Executable Affine-Cohomology Certificate for Finite Refinement DAGs,proven_algorithm_and_exact_two_DAG_certificates
ST150,Atomic Causal-Net Sufficiency and Minimality Boundary,proven_typed_atomic_net_sufficiency_and_two_necessity_tests
ST151,Exact Counts for Markov-Modulated Detector Availability,proven_exact_finite_count_law_and_positive_tilted_exponent
ST152,Sharp Bath-Dimension Bound for Global Gibbs Reset,proven_exact_minimum_bath_dimension_and_approximation_lower_bounds
ST153,Complete Classification of Non-Diagonal Minimax Detectors,proven_complete_optimizer_set_for_declared_adversary_cone
