program,object,status
ST58,Full Directed-Interval Strict-to-Memory Collision Certificate,proven_outward_interval_certificate_under_exact_circulant_reduction
ST59,Sign-Closed Adaptive-Functional No-Go,proven_no_strict_gain_sign_in_sign_closed_functional_class
ST60,Strict Spectral-Bundle Projective-Texture Obstruction,proven_scalar_strict_spectral_bundle_does_not_source_ST49_texture
ST61,Heat-Signature Refinement Source Audit,proven_no_full_heat_signature_stationary_dyadic_refinement
ST62,Analytic Finite-Count Two-Carrier Power Bracket,proven_information_bound_bracket_for_frozen_synthetic_receiver
ST63,Completely-Positive Channel Intertwiner Classification,proven_CP_pinching_intertwiner_and_invertible_equivalence_no_go
ST64,Minimal Conditional Information-to-Thermodynamics Bridge,proven_conditional_thermodynamic_identity_and_dimensional_scale_obstruction
ST65,Localized Excited-State Continuation and Search,strong_numerical_localized_branch_terminates_before_strict_coupling_no_kappa1_hit
ST66,Smooth Polynomial C12-Equivariant Selection Bifurcation,proven_constructed_smooth_polynomial_C12_bifurcation_classification
ST67,Pi-Holonomy/Chirality Separation by a Projective Bargmann Invariant,proven_conditional_projective_chirality_invariant_at_fixed_pi_holonomy
ST68,Calibration-Uncertainty and Custody Validator,constructed_executable_calibration_and_custody_validator
ST69,Post-ST68 Axiom Graph and Conditional Package Audit,proven_no_strict_axiom_reduction_after_ST58_ST68
