program,status,headline
P337,[Proven] exact rational dual lower certificate; [Strong evidence] matching high-precision primal evaluation,an exact rational dual certificate nearly closes the P323 value
P338,[Strong evidence] continuum dual/discrete-primal bracket for the full oscillatory kernel,the full oscillatory strict kernel needs a larger signed path resource
P339,[Strong evidence] continuous in-sample sensitivity audit; [Refuted] claim that QW-2038 supplied a frozen independent hold-out,continuous refreeze is in-sample and has no independent hold-out
P340,[Proven] natural scalar maps preserve commutation; [Strong evidence] cycle-interpolant transfer refutation,a C12 scalar interpolant is not carrier-natural
P341,[Strong evidence] ideal 12-mode compilation and synthetic short-time inverse calibration; [Proven] one-time logarithm branch nonuniqueness,the ideal photonic mesh is compilable but one-time inversion is branch-ambiguous
P342,[Blocked by external evidence] no admitted independent frozen hold-out,the external frozen-holdout gate remains closed
P343,[Proven] ideal parallel n-use unitary-channel subclass; [Blocked] unrestricted adaptive multitime comb SDP,parallel multiuse channels sharpen discrimination; full adaptive comb remains open
P344,[Proven] finite-design nonparametric clock nonidentification; [Proven] C2 interpolation upper bound,finite times do not identify a nonparametric monotone clock
P345,[Proven] formula parameters are carrier-independent inputs; [Strong evidence] tested nontrivial operator invariants are carrier-dependent,formula-level constants survive carriers; tested operator invariants do not
P346,[Proven] typed monotonicity theorems; [Strong evidence] finite Markov contraction audit,five bridge resources admit typed free-operation monotones
P347,[Refuted] all four tested resource-coupling laws as internal co-generation theorems,four candidate resource-coupling laws fail
P348,[Constructed conditional falsification vector]; [Refuted] strict FIN electroweak prediction claim,the EW package is jointly falsifiable only conditionally
P349,[Proven] dimensional identifiability and conversion formulas; [Conditional] all three metrology anchors are external,dimensional conversion requires a rank-three external metrology frame
P350,[Blocked by external evidence] no certified physical reservoir or calibrated device execution package,the certified physical-reservoir gate remains closed
