program,status,object,boundary
ST1062,constructed_six_model_falsification_lattice,Falsification_ModelClass_Lattice,"Models are alternatives for logic testing, not claims about nature."
ST1063,proven_closed_strict_heat_has_unit_survival_mass,ClosedNormalized_NoKill,Probability embedding and exact generator required.
ST1064,proven_submarkov_extension_loses_survival_mass,SubMarkov_Killing,"Uniform killing gamma is a new term, not generated by strict A."
ST1065,proven_stochastic_annihilation_requires_hazard_and_cemetery_state,StochasticCemetery_Hazard,Classical jump countermodel.
ST1066,proven_finite_time_collapse_requires_loss_of_lipschitz_or_manifold_invariance,FiniteTimeCollapse,Scalar x_dot=-sqrt(x) countermodel.
ST1067,proven_topological_label_can_change_when_admissibility_gap_closes,TopologicalProtection_GapFailure,General homotopy limitation; FIN has no strict amplitude-gap theorem.
ST1068,proven_renormalization_can_hide_extinction_probability,NormalizationCanHideSurvivalLoss,Essential critique of normalized-state arguments.
ST1069,proven_projective_state_is_blind_to_absolute_survival_amplitude,ProjectiveAmplitudeBlindness,Ray semantics alone cannot distinguish psi from c psi for nonzero c.
ST1070,proven_external_embedding_can_turn_totality_into_subsystem_decay,Totality_ExternalEmbeddingCountermodel,This countermodel contradicts the stated ontology if the embedding is called more fundamental.
ST1071,proven_internal_pair_annihilation_can_preserve_global_charge_information,InternalPairAnnihilation_GlobalCharge,Kinematic charge bookkeeping only; no FIN particle/collision law.
ST1072,proven_strict_heat_mixing_is_not_killing,HeatMixing_NotKilling,Finite irreducible Laplacian-like model.
ST1073,constructed_survival_observable_requirement,SurvivalObservable_Requirement,Operational candidate; apparatus and record remain absent.
ST1074,proven_model_classes_are_distinguishable_only_before_total_event,ModelDiscrimination_Table,Direct total-nothing observation remains impossible internally.
ST1075,proven_no_protection_premise_survives_removal_unconditionally,ProtectionPremise_StressTest,Falsification result for the proposed theorem schema.
ST1076,recommended_ST1077_ST1091,RoundFive_Recommendation,"Final round will state the exact no-go, rank axioms, and expose the remaining FIN derivation problem."
