program,status,object,boundary
ST822,proven_seven_field_intake_gate,NewObject_IntakeGate,Gate does not create candidates.
ST823,transition_lane_requires_new_interval_or_SOS_method,Transition_GlobalMethod_Intake,Multistarts gated.
ST824,degree8_lane_requires_structure_aware_Q_method,Degree8_ExactMethod_Intake,More primes gated.
ST825,IR_lane_requires_correlated_interval_AD,IR_CorrelatedInterval_Intake,Radius/log replay gated.
ST826,conditional_continuum_upgrade_ready,ContinuumCone_ProofUpgrade,Refinement conditional.
ST827,constructed_formal_dependency_DAG,FormalCore_DependencyFreeze,Not machine checked.
ST828,constructed_conditional_nonlinear_nadsoliton_candidate,NonlinearNadsoliton_EquationCandidate,No strict source.
ST829,seven_charge_candidate_not_supplied,SevenCharge_Object_Intake,No formula.
ST830,constructed_dynamic_memory_bridge_schema,Sigma(z)=A_EH(zI+A_HH)^-1 A_HE,No target-independent kernel.
ST831,metric_response_gravity_intake_failed_current_A8,MetricResponse_Gravity_Intake,New functor needed.
ST832,gauge_provenance_intake_failed,GaugeComplex_Provenance_Intake,Constructed cubic complex conditional.
ST833,fine_tomography_two_clock_transfer_ready,FineTomography_TwoClock_Intake,No apparatus.
ST834,constructed_independent_replay_plan,IndependentReplay_Plan,No external reviewer.
ST835,blocked_no_new_strict_object_passes_intake,StrictClosure_Gate,No strict closure.
ST836,blocked_no_evidence,Evidence_Gate,Round one local.
