program,object,status
ST166,Carrier-Change Operational Probability Invariant,proven_exact_for_reversible_stochastic_code_embeddings
ST167,Strict Functional-Calculus Environment-Coupling No-Go,proven_no_go_in_strict_functional_calculus_class
ST168,Complete Uniform-Branch Fold Classification,proven_complete_on_declared_uniform_symmetry_reduced_branch
ST169,Exact Nonorthogonal Binary-Unitary Recovery,proven_global_optimum_for_qubit_binary_phase_errors
ST170,Fisher--Rao Selector-Control Cost and Covariant No-Start Theorem,proven_no_start_and_sharp_conditional_information_geometric_cost
ST171,Twelfth-Order Coupling Nonidentifiability Theorem,proven_source_no_go_for_linear_spectral_and_11_jet_data
ST172,Second-Generation Adaptive Nuisance Continuation,proven_extended_uniform_cover
ST173,Noisy Approximate Refinement Functor and Redundant Compression,proven_exact_error_law_for_independent_replicated_paths
ST174,Robust Atomic-Net Subspace from Noisy Instrument Tomography,proven_analytic_noise_threshold_with_numerical_subspace_audit
ST175,Interval Collatz Certificate for the Hidden-HMM Pair Transfer,proven_sharper_pair_path_exponent_certificate
ST176,Microscopic Qubit-Bath Locality and Energy-Conservation Tradeoff,proven_dimension_and_explicit_local_circuit_tradeoff
ST177,Executable Operational Tuple and Frozen-Record Validator,proven_executable_structural_validator_with_physical_block
